Samples	SBS96A	SBS96B	SBS96C
TCGA-XF-AAME-01A-12D-A42E-08	0	14	5
TCGA-XF-AAMF-01A-21D-A42E-08	32	26	9
TCGA-XF-AAMG-01A-11D-A42E-08	710	42	86
TCGA-XF-AAMH-01A-11D-A42E-08	0	29	16
TCGA-XF-AAMJ-01A-11D-A42E-08	0	14	18
TCGA-XF-AAML-01A-11D-A42E-08	210	201	32
TCGA-XF-AAMQ-01A-11D-A42E-08	105	66	10
TCGA-XF-AAMR-01A-31D-A42E-08	37	41	9
TCGA-XF-AAMT-01A-11D-A42E-08	30	32	19
TCGA-XF-AAMW-01A-11D-A42E-08	1	13	11
TCGA-XF-AAMX-01A-11D-A42E-08	157	56	71
TCGA-XF-AAMY-01A-11D-A42E-08	50	49	6
TCGA-XF-AAMZ-01A-11D-A42E-08	147	23	45
TCGA-XF-AAN0-01A-11D-A42E-08	243	73	32
TCGA-XF-AAN1-01A-31D-A42E-08	19	37	26
TCGA-XF-AAN2-01A-11D-A42E-08	291	124	4
TCGA-XF-AAN3-01A-11D-A42E-08	99	51	5
TCGA-XF-AAN4-01A-11D-A42E-08	27	0	1
TCGA-XF-AAN5-01A-11D-A42E-08	254	0	20
TCGA-XF-AAN7-01A-11D-A42E-08	0	101	25
TCGA-XF-AAN8-01A-11D-A42E-08	0	1	0
TCGA-YC-A89H-01A-11D-A364-08	110	1332	0
TCGA-YC-A8S6-01A-31D-A38G-08	53	16	21
TCGA-YC-A9TC-01A-22D-A391-08	57	24	14
TCGA-YF-AA3L-01A-11D-A38G-08	96	130	54
TCGA-YF-AA3M-01A-11D-A42E-08	37	82	28
TCGA-ZF-A9R0-01A-11D-A38G-08	134	33	10
TCGA-ZF-A9R1-01A-11D-A391-08	39	37	9
TCGA-ZF-A9R2-01A-11D-A391-08	89	27	4
TCGA-ZF-A9R3-01A-11D-A38G-08	31	32	10
TCGA-ZF-A9R4-01A-11D-A38G-08	128	86	5
TCGA-ZF-A9R5-01A-12D-A42E-08	0	35	48
TCGA-ZF-A9R7-01A-11D-A38G-08	459	147	15
TCGA-ZF-A9R9-01A-11D-A38G-08	84	65	27
TCGA-ZF-A9RC-01A-11D-A38G-08	131	710	0
TCGA-ZF-A9RD-01A-11D-A42E-08	74	58	21
TCGA-ZF-A9RE-01A-11D-A38G-08	1	16	40
TCGA-ZF-A9RF-01A-11D-A38G-08	109	100	12
TCGA-ZF-A9RG-01A-21D-A42E-08	72	135	3
TCGA-ZF-A9RL-01A-11D-A38G-08	208	18	60
TCGA-ZF-A9RM-01A-11D-A38G-08	0	50	24
TCGA-ZF-A9RN-01A-11D-A42E-08	107	19	47
TCGA-ZF-AA4N-01A-11D-A38G-08	61	61	19
TCGA-ZF-AA4R-01A-11D-A38G-08	18	27	6
TCGA-ZF-AA4T-01A-11D-A38G-08	4	67	17
TCGA-ZF-AA4U-01A-11D-A38G-08	0	44	17
TCGA-ZF-AA4V-01A-11D-A38G-08	198	402	14
TCGA-ZF-AA4W-01A-12D-A38G-08	212	91	130
TCGA-ZF-AA4X-01A-11D-A38G-08	295	262	12
TCGA-ZF-AA51-01A-21D-A391-08	497	58	14
TCGA-ZF-AA52-01A-12D-A391-08	34	56	22
TCGA-ZF-AA53-01A-11D-A391-08	141	11	2
TCGA-ZF-AA54-01A-11D-A391-08	118	35	3
TCGA-ZF-AA56-01A-31D-A391-08	61	5	18
TCGA-ZF-AA58-01A-12D-A42E-08	141	37	17
TCGA-ZF-AA5H-01A-11D-A391-08	18	35	7
TCGA-ZF-AA5N-01A-11D-A42E-08	11	22	15
TCGA-ZF-AA5P-01A-11D-A391-08	27	1	14
