Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-FD-A3SN-01A-12D-A22Z-08	61	10	0	13	8	3
TCGA-FD-A3SO-01A-11D-A22Z-08	51	27	23	0	5	3
TCGA-FD-A3SP-01A-31D-A22Z-08	5	5	14	2	3	1
TCGA-FD-A3SQ-01A-21D-A22Z-08	0	4	0	0	15	0
TCGA-FD-A3SR-01A-11D-A22Z-08	6	8	15	0	7	3
TCGA-FD-A3SS-01A-12D-A22Z-08	77	46	0	1	6	12
TCGA-FD-A43N-01A-11D-A23U-08	8	21	0	0	25	3
TCGA-FD-A43P-01A-31D-A23U-08	30	44	21	12	11	5
TCGA-FD-A43S-01A-21D-A23U-08	0	0	0	1	0	0
TCGA-FD-A43U-01A-11D-A23U-08	2	0	1	7	4	0
TCGA-FD-A43X-01A-11D-A23U-08	27	23	21	0	6	5
TCGA-FD-A43Y-01A-21D-A26M-08	0	2	0	3	14	1
TCGA-FD-A5BR-01A-11D-A26M-08	0	0	7	4	8	0
TCGA-FD-A5BS-01A-21D-A26M-08	3	1	3	0	2	0
TCGA-FD-A5BT-01A-11D-A26M-08	12	17	2	2	1	4
TCGA-FD-A5BU-01A-31D-A26M-08	4	1	0	11	5	1
TCGA-FD-A5BV-01A-11D-A26M-08	0	2	6	11	8	0
TCGA-FD-A5BX-01A-11D-A26M-08	43	53	7	0	0	8
TCGA-FD-A5BY-01A-31D-A289-08	5	0	0	5	8	0
TCGA-FD-A5BZ-01A-11D-A289-08	2	3	25	0	0	6
TCGA-FD-A5C0-01A-11D-A289-08	2	3	25	0	16	1
TCGA-FD-A5C1-01A-11D-A289-08	9	12	15	0	8	4
TCGA-FD-A62N-01A-11D-A30E-08	0	0	10	12	1	0
TCGA-FD-A62O-01A-11D-A30E-08	13	12	12	0	11	8
TCGA-FD-A62P-01A-32D-A30E-08	20	24	46	0	0	12
TCGA-FD-A62S-01A-11D-A30E-08	0	0	8	2	11	0
TCGA-FD-A6TA-01A-12D-A339-08	19	52	0	0	0	5
TCGA-FD-A6TB-01A-12D-A339-08	11	31	0	0	1	7
TCGA-FD-A6TC-01A-21D-A339-08	118	130	0	0	11	1
TCGA-FD-A6TD-01A-51D-A339-08	14	4	12	3	6	0
TCGA-FD-A6TE-01A-12D-A339-08	23	31	0	0	6	0
TCGA-FD-A6TF-01A-52D-A32B-08	8	18	11	2	14	1
TCGA-FD-A6TG-01A-11D-A32B-08	27	20	58	19	2	4
TCGA-FD-A6TH-01A-11D-A32B-08	9	10	16	0	14	4
TCGA-FD-A6TI-01A-11D-A32B-08	2	4	0	7	9	8
TCGA-FD-A6TK-01A-42D-A339-08	3	6	8	7	4	0
TCGA-FJ-A3Z7-01A-12D-A23M-08	41	32	0	2	20	0
TCGA-FJ-A3Z9-01A-11D-A26M-08	3	3	0	3	7	3
TCGA-FJ-A3ZE-01A-11D-A23M-08	3	4	0	85	9	3
TCGA-FJ-A3ZF-01A-11D-A23M-08	22	5	43	0	0	7
TCGA-FJ-A871-01A-11D-A34U-08	0	2	5	3	4	1
TCGA-FT-A3EE-01A-11D-A202-08	4	0	21	4	10	1
TCGA-FT-A61P-01A-11D-A30E-08	4	0	48	0	0	5
TCGA-G2-A2EC-01A-11D-A17V-08	32	16	0	1	2	4
TCGA-G2-A2EF-01A-12D-A18F-08	35	38	0	9	0	0
TCGA-G2-A2EJ-01A-11D-A17V-08	12	34	0	21	0	2
TCGA-G2-A2EK-01A-22D-A18F-08	4	2	0	0	7	0
TCGA-G2-A2EL-01A-12D-A18F-08	15	26	0	0	8	3
TCGA-G2-A2EO-01A-11D-A17V-08	102	124	0	0	9	12
TCGA-G2-A2ES-01A-11D-A17V-08	39	10	0	57	11	0
TCGA-G2-A3IB-01A-11D-A20D-08	4	0	0	17	0	2
TCGA-G2-A3IE-01A-11D-A20D-08	30	45	0	4	2	1
TCGA-G2-A3VY-01A-11D-A22Z-08	49	125	0	9	5	4
TCGA-G2-AA3B-01A-11D-A391-08	59	88	17	2	0	14
TCGA-G2-AA3C-01A-21D-A391-08	15	24	17	0	8	3
TCGA-G2-AA3D-01A-11D-A391-08	25	40	0	0	1	4
TCGA-G2-AA3F-01A-12D-A42E-08	4	7	9	10	3	0
TCGA-GC-A3BM-01A-11D-A22Z-08	5	7	0	0	19	2
TCGA-GC-A3I6-01A-11D-A20D-08	13	10	0	7	6	7
TCGA-GC-A3OO-01A-11D-A22Z-08	18	5	14	7	0	3
TCGA-GC-A3RB-01A-12D-A21Z-08	5	14	5	0	18	4
TCGA-GC-A3RC-01A-11D-A22Z-08	27	11	15	31	10	2
TCGA-GC-A3RD-01A-12D-A22Z-08	6	6	0	11	2	0
TCGA-GC-A3WC-01A-31D-A22Z-08	7	8	13	0	10	4
TCGA-GC-A3YS-01A-11D-A23M-08	13	8	37	0	0	4
TCGA-GC-A4ZW-01A-11D-A26M-08	50	87	39	0	0	7
TCGA-GC-A6I1-01A-12D-A31L-08	23	14	7	0	9	6
TCGA-GC-A6I3-01A-11D-A31L-08	14	24	4	11	6	3
TCGA-GD-A2C5-01A-12D-A17V-08	21	29	18	0	7	2
TCGA-GD-A3OP-01A-21D-A21Z-08	28	27	3	20	5	4
TCGA-GD-A3OQ-01A-32D-A21Z-08	4	9	0	3	5	3
TCGA-GD-A3OS-01A-12D-A21Z-08	5	2	0	6	8	0
TCGA-GD-A6C6-01A-21D-A31L-08	27	28	4	11	3	5
TCGA-GD-A76B-01A-11D-A32B-08	8	4	17	0	6	4
TCGA-GU-A42P-01A-11D-A23U-08	21	11	35	0	0	3
TCGA-GU-A42Q-01A-11D-A23U-08	12	16	0	5	8	3
TCGA-GU-A42R-01A-11D-A23M-08	11	10	20	0	0	2
TCGA-GU-A762-01A-11D-A339-08	2	5	2	0	6	4
TCGA-GU-A763-01A-11D-A32B-08	1	1	5	1	4	3
TCGA-GU-A764-01A-11D-A34U-08	9	7	0	9	3	3
TCGA-GU-A766-01A-11D-A32B-08	17	23	0	2	0	0
TCGA-GU-A767-01A-11D-A32B-08	17	12	12	56	0	6
TCGA-GU-AATO-01A-11D-A391-08	35	34	0	9	10	0
TCGA-GU-AATP-01A-11D-A391-08	40	38	15	0	11	4
TCGA-GU-AATQ-01A-11D-A391-08	4	19	25	0	0	0
TCGA-GV-A3JV-01A-11D-A21Z-08	4	2	9	0	11	1
TCGA-GV-A3JW-01A-11D-A20D-08	0	7	4	7	2	2
TCGA-GV-A3JX-01A-11D-A20D-08	17	27	19	0	0	4
TCGA-GV-A3JZ-01A-11D-A21A-08	26	45	29	0	0	21
TCGA-GV-A3QF-01A-31D-A22Z-08	3	0	20	12	3	0
TCGA-GV-A3QG-01A-11D-A21Z-08	2	3	0	6	9	0
TCGA-GV-A3QH-01A-11D-A21Z-08	7	18	0	4	13	0
TCGA-GV-A3QI-01A-11D-A21Z-08	5	0	87	27	4	2
TCGA-GV-A3QK-01B-11D-A23M-08	8	4	8	0	14	8
TCGA-GV-A40E-01A-12D-A23M-08	3	22	11	4	9	4
TCGA-GV-A40G-01A-11D-A23M-08	9	3	25	0	16	0
TCGA-GV-A6ZA-01A-12D-A339-08	10	37	19	0	3	9
TCGA-H4-A2HO-01A-11D-A17V-08	7	2	0	2	12	0
TCGA-H4-A2HQ-01A-11D-A17V-08	51	23	55	0	0	0
TCGA-HQ-A2OE-01A-11D-A202-08	7	18	0	20	4	0
TCGA-HQ-A2OF-01A-11D-A26M-08	2	1	0	0	26	0
TCGA-HQ-A5ND-01A-11D-A26M-08	2	4	6	2	5	8
TCGA-HQ-A5NE-01A-12D-A289-08	32	48	2	0	18	1
TCGA-K4-A3WS-01A-11D-A22Z-08	14	12	11	32	4	5
TCGA-K4-A3WU-01B-11D-A23M-08	9	18	0	2	19	9
TCGA-K4-A3WV-01A-11D-A22Z-08	3	0	3	7	5	1
TCGA-K4-A4AB-01B-12D-A289-08	0	6	8	3	13	0
TCGA-K4-A4AC-01A-21D-A26M-08	3	2	29	0	7	6
TCGA-K4-A54R-01A-11D-A26M-08	106	123	0	0	0	41
TCGA-K4-A5RH-01A-11D-A30E-08	16	12	8	6	0	3
TCGA-K4-A5RI-01A-11D-A289-08	1	2	22	0	6	6
TCGA-K4-A5RJ-01A-11D-A289-08	26	37	32	0	0	9
TCGA-K4-A6FZ-01A-11D-A31L-08	35	16	0	63	0	0
TCGA-K4-A6MB-01A-11D-A31L-08	26	35	5	8	10	3
TCGA-K4-A83P-01A-11D-A34U-08	16	9	23	0	1	2
TCGA-K4-AAQO-01A-11D-A38G-08	21	12	20	8	4	0
TCGA-KQ-A41N-01A-11D-A339-08	9	1	33	0	0	4
TCGA-KQ-A41O-01A-12D-A34U-08	11	35	0	0	12	3
TCGA-KQ-A41P-01A-12D-A339-08	30	32	0	5	9	13
TCGA-KQ-A41Q-01A-11D-A339-08	8	12	0	0	14	2
TCGA-KQ-A41R-01A-21D-A34U-08	113	14	15	49	30	1
TCGA-KQ-A41S-01A-12D-A339-08	14	19	20	0	0	8
TCGA-LC-A66R-01A-41D-A30E-08	7	12	6	0	6	9
TCGA-LT-A5Z6-01A-11D-A289-08	84	73	0	19	2	0
TCGA-LT-A8JT-01A-11D-A364-08	9	6	0	1	5	2
TCGA-MV-A51V-01A-11D-A26M-08	112	295	0	26	2	29
TCGA-PQ-A6FI-01A-11D-A31L-08	9	9	0	9	6	8
TCGA-PQ-A6FN-01A-11D-A31L-08	5	4	0	11	3	0
TCGA-R3-A69X-01A-22D-A30E-08	27	17	0	6	1	3
TCGA-S5-A6DX-01A-11D-A31L-08	71	82	32	0	13	2
TCGA-S5-AA26-01A-11D-A38G-08	27	30	2	0	9	0
TCGA-SY-A9G0-01A-12D-A38G-08	0	4	4	0	2	4
TCGA-SY-A9G5-01A-11D-A38G-08	101	125	0	3	9	11
TCGA-UY-A78K-01A-11D-A339-08	25	43	0	127	10	6
TCGA-UY-A78L-01A-12D-A339-08	23	18	15	0	0	2
TCGA-UY-A78M-01A-21D-A34U-08	8	9	10	1	6	1
TCGA-UY-A78N-01A-12D-A339-08	8	0	0	36	9	2
TCGA-UY-A78O-01A-12D-A339-08	12	6	0	0	19	1
TCGA-UY-A78P-01A-12D-A364-08	25	31	11	0	4	3
TCGA-UY-A8OB-01A-12D-A42E-08	4	14	0	43	3	6
TCGA-UY-A8OC-01A-11D-A364-08	6	9	0	0	5	7
TCGA-UY-A8OD-01A-11D-A364-08	5	5	0	6	7	0
TCGA-UY-A9PA-01A-11D-A38G-08	7	3	2	17	14	0
TCGA-UY-A9PB-01A-11D-A38G-08	28	31	73	12	11	9
TCGA-UY-A9PD-01A-11D-A38G-08	15	13	5	24	25	3
TCGA-UY-A9PE-01A-11D-A38G-08	10	18	19	0	3	5
TCGA-UY-A9PF-01A-11D-A38G-08	105	7	0	18	16	0
TCGA-UY-A9PH-01A-11D-A38G-08	35	42	0	1	14	5
TCGA-XF-A8HB-01A-11D-A364-08	0	4	0	7	4	4
TCGA-XF-A8HC-01A-11D-A364-08	22	8	0	4	4	0
TCGA-XF-A8HD-01A-11D-A364-08	26	53	9	6	12	1
TCGA-XF-A8HE-01A-11D-A364-08	45	30	30	0	0	6
TCGA-XF-A8HF-01A-11D-A364-08	4	6	0	21	3	1
TCGA-XF-A8HG-01A-11D-A364-08	23	13	0	24	28	0
TCGA-XF-A8HH-01A-11D-A38G-08	5	10	1	0	9	5
TCGA-XF-A8HI-01A-11D-A38G-08	6	3	3	0	3	0
TCGA-XF-A9SG-01A-12D-A42E-08	25	15	0	6	4	1
TCGA-XF-A9SH-01A-11D-A391-08	2	2	0	0	8	0
TCGA-XF-A9SI-01A-11D-A391-08	33	50	0	0	3	2
TCGA-XF-A9SJ-01A-11D-A391-08	43	17	6	7	8	1
TCGA-XF-A9SK-01A-11D-A42E-08	11	15	0	0	11	5
TCGA-XF-A9SL-01A-11D-A391-08	3	12	0	4	4	0
TCGA-XF-A9SM-01A-11D-A42E-08	26	32	0	6	0	0
TCGA-XF-A9SP-01A-11D-A391-08	9	17	43	0	0	10
TCGA-XF-A9ST-01A-11D-A42E-08	23	42	8	66	5	14
TCGA-XF-A9SU-01A-31D-A391-08	0	0	1	1	10	3
TCGA-XF-A9SV-01A-21D-A42E-08	1	0	9	7	0	5
TCGA-XF-A9SW-01A-11D-A42E-08	4	3	0	0	6	3
TCGA-XF-A9SX-01A-21D-A391-08	1	2	6	12	3	3
TCGA-XF-A9SY-01A-21D-A42E-08	13	27	0	57	0	11
TCGA-XF-A9SZ-01A-11D-A391-08	11	8	16	0	2	0
TCGA-XF-A9T0-01A-11D-A391-08	164	9	0	44	20	12
TCGA-XF-A9T2-01A-11D-A42E-08	7	5	0	6	0	0
TCGA-XF-A9T3-01A-11D-A42E-08	6	7	0	70	11	2
TCGA-XF-A9T4-01A-11D-A391-08	5	1	0	4	6	0
TCGA-XF-A9T5-01A-11D-A42E-08	100	84	0	1	15	0
TCGA-XF-A9T6-01A-11D-A42E-08	20	0	10	31	8	10
TCGA-XF-A9T8-01A-11D-A391-08	65	104	6	0	18	0
TCGA-XF-AAME-01A-12D-A42E-08	0	0	0	1	0	0
TCGA-XF-AAMF-01A-21D-A42E-08	5	6	0	0	4	0
TCGA-XF-AAMG-01A-11D-A42E-08	64	118	38	0	30	23
TCGA-XF-AAMH-01A-11D-A42E-08	0	0	11	0	4	3
TCGA-XF-AAMJ-01A-11D-A42E-08	0	2	0	1	9	0
TCGA-XF-AAML-01A-11D-A42E-08	60	39	24	0	0	16
TCGA-XF-AAMQ-01A-11D-A42E-08	16	23	23	0	6	12
TCGA-XF-AAMR-01A-31D-A42E-08	5	0	8	0	0	5
TCGA-XF-AAMT-01A-11D-A42E-08	1	13	0	9	0	7
TCGA-XF-AAMW-01A-11D-A42E-08	0	0	4	8	0	1
TCGA-XF-AAMX-01A-11D-A42E-08	24	23	0	32	13	5
TCGA-XF-AAMY-01A-11D-A42E-08	8	12	0	1	7	0
TCGA-XF-AAMZ-01A-11D-A42E-08	9	34	0	7	19	3
TCGA-XF-AAN0-01A-11D-A42E-08	51	43	17	0	13	3
TCGA-XF-AAN1-01A-31D-A42E-08	1	3	2	9	7	0
TCGA-XF-AAN2-01A-11D-A42E-08	59	50	0	0	6	0
TCGA-XF-AAN3-01A-11D-A42E-08	10	7	12	0	1	3
TCGA-XF-AAN4-01A-11D-A42E-08	2	2	0	3	0	1
TCGA-XF-AAN5-01A-11D-A42E-08	10	40	31	1	0	7
TCGA-XF-AAN7-01A-11D-A42E-08	6	1	4	16	6	0
