Samples	SBS96A	SBS96B	SBS96C
TCGA-AO-A0JD-01A-11W-A071-09	113	12	10
TCGA-AO-A0JE-01A-11W-A071-09	15	31	9
TCGA-AO-A0JF-01A-11W-A071-09	27	6	3
TCGA-AO-A0JG-01A-31D-A099-09	15	0	3
TCGA-AO-A0JI-01A-21W-A100-09	25	1	5
TCGA-AO-A0JJ-01A-11W-A071-09	30	3	5
TCGA-AO-A0JM-01A-21W-A071-09	40	8	10
TCGA-AO-A124-01A-11D-A10M-09	124	11	20
TCGA-AO-A128-01A-11D-A10M-09	1126	9	60
TCGA-AO-A12A-01A-21D-A10Y-09	13	2	0
TCGA-AO-A12D-01A-11D-A10Y-09	23	34	7
TCGA-AO-A12F-01A-11D-A10Y-09	29	0	5
TCGA-AO-A12H-01A-11D-A10Y-09	27	1	2
TCGA-AO-A1KO-01A-31D-A188-09	5	1	2
TCGA-AO-A1KP-01A-11D-A13L-09	21	0	0
TCGA-AO-A1KR-01A-12D-A142-09	57	21	3
TCGA-AO-A1KS-01A-11D-A13L-09	30	20	7
TCGA-AO-A1KT-01A-11D-A13L-09	41	3	5
TCGA-AQ-A04H-01B-11D-A10M-09	68	3	8
TCGA-AQ-A04J-01A-02W-A050-09	79	20	0
TCGA-AQ-A0Y5-01A-11D-A14K-09	36	20	5
TCGA-AQ-A1H2-01A-11D-A13L-09	27	1	4
TCGA-AQ-A1H3-01A-31D-A13L-09	25	0	0
TCGA-AQ-A54O-01A-11D-A25Q-09	23	3	1
TCGA-AQ-A7U7-01A-22D-A351-09	23	64	7
TCGA-AR-A0TP-01A-11D-A099-09	58	12	0
TCGA-AR-A0TQ-01A-11D-A099-09	27	10	3
TCGA-AR-A0TR-01A-11D-A099-09	33	3	5
TCGA-AR-A0TS-01A-11D-A10Y-09	76	16	0
TCGA-AR-A0TT-01A-31D-A099-09	49	16	2
TCGA-AR-A0TU-01A-31D-A10G-09	145	30	8
TCGA-AR-A0TV-01A-21D-A099-09	63	9	4
TCGA-AR-A0TW-01A-11D-A099-09	45	4	8
TCGA-AR-A0TX-01A-11D-A099-09	11	337	24
TCGA-AR-A0TY-01A-12W-A12T-09	181	26	12
TCGA-AR-A0TZ-01A-12D-A099-09	24	22	10
TCGA-AR-A0U0-01A-11D-A10G-09	163	53	11
TCGA-AR-A0U1-01A-11D-A10Y-09	80	12	5
TCGA-AR-A0U2-01A-11D-A10G-09	85	8	6
TCGA-AR-A0U3-01A-11D-A10G-09	27	2	7
TCGA-AR-A1AH-01A-11D-A12B-09	83	8	13
TCGA-AR-A1AI-01A-11D-A12Q-09	45	19	14
TCGA-AR-A1AJ-01A-21D-A12Q-09	24	18	5
TCGA-AR-A1AK-01A-21D-A12Q-09	32	33	9
TCGA-AR-A1AL-01A-21D-A12Q-09	22	7	1
TCGA-AR-A1AN-01A-11D-A12Q-09	23	2	2
TCGA-AR-A1AO-01A-11D-A12Q-09	61	33	12
TCGA-AR-A1AP-01A-11D-A12Q-09	25	6	5
TCGA-AR-A1AQ-01A-11D-A12Q-09	34	3	1
TCGA-AR-A1AR-01A-31D-A135-09	47	9	1
TCGA-AR-A1AS-01A-11D-A12Q-09	20	14	5
TCGA-AR-A1AT-01A-11D-A12Q-09	25	3	1
TCGA-AR-A1AU-01A-11D-A12Q-09	22	2	0
TCGA-AR-A1AV-01A-21D-A12Q-09	42	5	7
TCGA-AR-A1AW-01A-21D-A12Q-09	38	5	1
TCGA-AR-A1AX-01A-11D-A12Q-09	21	3	3
TCGA-AR-A1AY-01A-21D-A12Q-09	46	9	4
TCGA-AR-A24H-01A-11D-A167-09	109	37	6
TCGA-AR-A24K-01A-11D-A167-09	28	0	5
TCGA-AR-A24L-01A-11D-A167-09	31	11	0
TCGA-AR-A24M-01A-11D-A167-09	28	2	0
TCGA-AR-A24N-01A-11D-A167-09	34	5	1
TCGA-AR-A24O-01A-11D-A167-09	21	1	1
TCGA-AR-A24P-01A-11D-A167-09	18	1	6
TCGA-AR-A24Q-01A-12D-A167-09	132	54	15
TCGA-AR-A24R-01A-11D-A167-09	17	3	1
TCGA-AR-A24S-01A-11D-A167-09	41	10	2
TCGA-AR-A24T-01A-11D-A167-09	17	2	2
TCGA-AR-A24U-01A-11D-A167-09	21	16	3
TCGA-AR-A24V-01A-21D-A167-09	20	4	3
TCGA-AR-A24W-01A-11D-A17G-09	10	1	2
TCGA-AR-A24X-01A-11D-A167-09	34	2	10
TCGA-AR-A24Z-01A-11D-A167-09	36	7	4
TCGA-AR-A250-01A-31D-A167-09	61	53	16
TCGA-AR-A251-01A-12D-A167-09	123	46	2
TCGA-AR-A252-01A-11D-A167-09	14	0	0
TCGA-AR-A254-01A-21D-A167-09	30	4	4
TCGA-AR-A255-01A-11D-A167-09	42	21	18
TCGA-AR-A256-01A-11D-A167-09	153	51	21
TCGA-AR-A2LE-01A-11D-A17W-09	11	300	40
TCGA-AR-A2LH-01A-31D-A18P-09	12	35	6
TCGA-AR-A2LK-01A-11D-A17W-09	34	4	4
TCGA-AR-A2LL-01A-11D-A17W-09	32	0	3
TCGA-AR-A2LM-01A-11D-A17W-09	8	3	4
TCGA-AR-A2LN-01A-21D-A18P-09	20	22	7
TCGA-AR-A2LO-01A-31D-A18P-09	15	2	2
TCGA-AR-A2LQ-01A-22D-A18P-09	13	0	0
TCGA-AR-A2LR-01A-12D-A18P-09	54	6	7
TCGA-AR-A5QM-01A-11D-A27P-09	29	0	3
TCGA-AR-A5QN-01A-12D-A28B-09	38	5	4
TCGA-AR-A5QP-01A-11D-A28B-09	20	4	4
TCGA-AR-A5QQ-01A-11D-A28B-09	72	18	3
TCGA-B6-A0I1-01A-11D-A21Q-09	53	11	7
TCGA-B6-A0I2-01A-11W-A050-09	38	29	5
TCGA-B6-A0I5-01A-11W-A100-09	30	0	1
TCGA-B6-A0I6-01A-11D-A128-09	81	13	4
TCGA-B6-A0I8-01A-11W-A050-09	105	30	7
TCGA-B6-A0I9-01A-11W-A050-09	69	6	9
TCGA-B6-A0IA-01A-11W-A050-09	75	16	3
TCGA-B6-A0IB-01A-11W-A050-09	58	13	10
TCGA-B6-A0IC-01A-11W-A050-09	39	7	2
TCGA-B6-A0IE-01A-11W-A050-09	49	5	5
TCGA-B6-A0IH-01A-11D-A10Y-09	28	3	5
TCGA-B6-A0IJ-01A-11W-A050-09	85	49	10
TCGA-B6-A0IK-01A-12W-A071-09	67	145	16
TCGA-B6-A0IM-01A-11W-A050-09	44	3	6
TCGA-B6-A0IN-01A-11W-A050-09	51	5	3
TCGA-B6-A0RE-01A-11W-A071-09	115	59	14
TCGA-B6-A0RG-01A-11W-A071-09	53	25	1
TCGA-B6-A0RH-01A-21D-A10Y-09	21	13	2
TCGA-B6-A0RI-01A-11W-A071-09	6	15	9
TCGA-B6-A0RL-01A-11D-A099-09	45	12	5
TCGA-B6-A0RM-01A-11D-A099-09	26	5	2
TCGA-B6-A0RN-01A-12D-A099-09	27	2	3
TCGA-B6-A0RO-01A-22D-A099-09	27	1	11
TCGA-B6-A0RP-01A-21D-A099-09	22	1	2
TCGA-B6-A0RQ-01A-11D-A10Y-09	26	19	4
TCGA-B6-A0RS-01A-11D-A099-09	119	41	3
TCGA-B6-A0RT-01A-21D-A099-09	36	15	4
TCGA-B6-A0RU-01A-11D-A099-09	41	6	9
TCGA-B6-A0RV-01A-11D-A099-09	13	44	4
TCGA-B6-A0WS-01A-11D-A10Y-09	14	4	1
TCGA-B6-A0WT-01A-11D-A10G-09	16	1	5
TCGA-B6-A0WV-01A-11D-A10G-09	31	4	0
TCGA-B6-A0WW-01A-11D-A10G-09	26	12	1
TCGA-B6-A0WX-01A-11D-A10G-09	36	1	5
TCGA-B6-A0WY-01A-11D-A10G-09	25	5	4
TCGA-B6-A0WZ-01A-11D-A10G-09	16	64	5
TCGA-B6-A0X0-01A-21D-A10Y-09	15	1	7
TCGA-B6-A0X1-01A-11D-A10G-09	49	23	10
TCGA-B6-A0X4-01A-11D-A10G-09	15	1	12
TCGA-B6-A0X5-01A-21D-A10G-09	20	7	19
TCGA-B6-A1KC-01B-11D-A159-09	23	1	5
TCGA-B6-A1KF-01A-11D-A13L-09	42	10	6
TCGA-B6-A1KI-01A-11D-A14K-09	19	1	2
TCGA-B6-A1KN-01A-11D-A13L-09	52	5	8
TCGA-B6-A2IU-01A-32D-A19T-09	28	13	4
TCGA-B6-A401-01A-11D-A23C-09	24	1	1
TCGA-B6-A409-01A-11D-A243-09	49	9	4
TCGA-B6-A40B-01A-11D-A23C-09	44	18	0
TCGA-B6-A40C-01A-11D-A23C-09	41	5	1
TCGA-BH-A0AU-01A-11D-A12Q-09	20	2	0
TCGA-BH-A0AV-01A-31D-A10Y-09	54	17	3
TCGA-BH-A0AW-01A-11W-A071-09	73	98	13
TCGA-BH-A0AY-01A-21W-A019-09	61	18	14
TCGA-BH-A0AZ-01A-21D-A12Q-09	40	20	2
TCGA-BH-A0B0-01A-21D-A10Y-09	6	66	11
TCGA-BH-A0B1-01A-12W-A071-09	91	7	4
TCGA-BH-A0B3-01A-11W-A071-09	44	10	2
TCGA-BH-A0B4-01A-11W-A019-09	65	17	5
TCGA-BH-A0B5-01A-11D-A12Q-09	15	51	1
