Samples	SBS96A	SBS96B
TCGA-AR-A5QN-01A-12D-A28B-09	32	4
TCGA-AR-A5QP-01A-11D-A28B-09	15	4
TCGA-AR-A5QQ-01A-11D-A28B-09	62	13
TCGA-B6-A0I1-01A-11D-A21Q-09	52	7
TCGA-B6-A0I2-01A-11W-A050-09	35	26
TCGA-B6-A0I5-01A-11W-A100-09	31	0
TCGA-B6-A0I6-01A-11D-A128-09	77	12
TCGA-B6-A0I8-01A-11W-A050-09	91	36
TCGA-B6-A0I9-01A-11W-A050-09	77	5
TCGA-B6-A0IA-01A-11W-A050-09	55	12
TCGA-B6-A0IB-01A-11W-A050-09	56	12
TCGA-B6-A0IC-01A-11W-A050-09	36	6
TCGA-B6-A0IE-01A-11W-A050-09	44	6
TCGA-B6-A0IH-01A-11D-A10Y-09	32	3
TCGA-B6-A0IJ-01A-11W-A050-09	83	51
TCGA-B6-A0IK-01A-12W-A071-09	59	134
TCGA-B6-A0IM-01A-11W-A050-09	40	1
TCGA-B6-A0IN-01A-11W-A050-09	42	8
TCGA-B6-A0RE-01A-11W-A071-09	120	51
TCGA-B6-A0RG-01A-11W-A071-09	41	24
TCGA-B6-A0RH-01A-21D-A10Y-09	21	10
TCGA-B6-A0RI-01A-11W-A071-09	14	8
TCGA-B6-A0RL-01A-11D-A099-09	47	11
TCGA-B6-A0RM-01A-11D-A099-09	27	4
TCGA-B6-A0RN-01A-12D-A099-09	26	1
TCGA-B6-A0RO-01A-22D-A099-09	33	4
TCGA-B6-A0RP-01A-21D-A099-09	23	0
TCGA-B6-A0RQ-01A-11D-A10Y-09	24	21
TCGA-B6-A0RS-01A-11D-A099-09	114	42
TCGA-B6-A0RT-01A-21D-A099-09	37	15
TCGA-B6-A0RU-01A-11D-A099-09	49	5
TCGA-B6-A0RV-01A-11D-A099-09	12	40
TCGA-B6-A0WS-01A-11D-A10Y-09	11	4
TCGA-B6-A0WT-01A-11D-A10G-09	19	1
TCGA-B6-A0WV-01A-11D-A10G-09	28	3
TCGA-B6-A0WW-01A-11D-A10G-09	25	7
TCGA-B6-A0WX-01A-11D-A10G-09	40	0
TCGA-B6-A0WY-01A-11D-A10G-09	25	3
TCGA-B6-A0WZ-01A-11D-A10G-09	11	66
TCGA-B6-A0X0-01A-21D-A10Y-09	20	2
TCGA-B6-A0X1-01A-11D-A10G-09	49	24
TCGA-B6-A0X4-01A-11D-A10G-09	20	3
TCGA-B6-A0X5-01A-21D-A10G-09	34	10
TCGA-B6-A1KC-01B-11D-A159-09	28	0
TCGA-B6-A1KF-01A-11D-A13L-09	42	8
TCGA-B6-A1KI-01A-11D-A14K-09	20	0
TCGA-B6-A1KN-01A-11D-A13L-09	51	7
TCGA-B6-A2IU-01A-32D-A19T-09	28	9
TCGA-B6-A401-01A-11D-A23C-09	21	1
TCGA-B6-A409-01A-11D-A243-09	40	10
TCGA-B6-A40B-01A-11D-A23C-09	35	15
TCGA-B6-A40C-01A-11D-A23C-09	39	3
TCGA-BH-A0AU-01A-11D-A12Q-09	18	1
TCGA-BH-A0AV-01A-31D-A10Y-09	52	14
TCGA-BH-A0AW-01A-11W-A071-09	74	92
TCGA-BH-A0AY-01A-21W-A019-09	68	17
TCGA-BH-A0AZ-01A-21D-A12Q-09	36	19
TCGA-BH-A0B0-01A-21D-A10Y-09	15	50
TCGA-BH-A0B1-01A-12W-A071-09	88	5
TCGA-BH-A0B3-01A-11W-A071-09	41	8
TCGA-BH-A0B4-01A-11W-A019-09	56	17
TCGA-BH-A0B5-01A-11D-A12Q-09	9	51
TCGA-BH-A0B6-01A-11D-A19Y-09	0	948
TCGA-BH-A0B7-01A-12D-A10Y-09	24	7
TCGA-BH-A0B8-01A-21W-A071-09	65	19
TCGA-BH-A0B9-01A-11W-A071-09	29	9
TCGA-BH-A0BA-01A-11W-A071-09	38	16
TCGA-BH-A0BC-01A-22D-A099-09	24	9
TCGA-BH-A0BD-01A-11W-A050-09	19	4
TCGA-BH-A0BF-01A-21D-A12Q-09	25	3
TCGA-BH-A0BG-01A-11D-A10Y-09	25	6
