Samples	SBS96A	SBS96B	SBS96C
TCGA-FD-A6TG-01A-11D-A32B-08	264	189	21
TCGA-FD-A6TH-01A-11D-A32B-08	84	79	42
TCGA-FD-A6TI-01A-11D-A32B-08	7	133	7
TCGA-FD-A6TK-01A-42D-A339-08	49	62	16
TCGA-FJ-A3Z7-01A-12D-A23M-08	268	67	74
TCGA-FJ-A3Z9-01A-11D-A26M-08	9	68	5
TCGA-FJ-A3ZE-01A-11D-A23M-08	69	469	0
TCGA-FJ-A3ZF-01A-11D-A23M-08	146	116	63
TCGA-FJ-A871-01A-11D-A34U-08	3	58	0
TCGA-FT-A3EE-01A-11D-A202-08	25	96	33
TCGA-FT-A61P-01A-11D-A30E-08	55	124	25
TCGA-G2-A2EC-01A-11D-A17V-08	121	45	39
TCGA-G2-A2EF-01A-12D-A18F-08	225	21	69
TCGA-G2-A2EJ-01A-11D-A17V-08	242	100	12
TCGA-G2-A2EK-01A-22D-A18F-08	28	48	0
TCGA-G2-A2EL-01A-12D-A18F-08	228	54	19
TCGA-G2-A2EO-01A-11D-A17V-08	891	0	198
TCGA-G2-A2ES-01A-11D-A17V-08	155	196	173
TCGA-G2-A3IB-01A-11D-A20D-08	26	67	26
TCGA-G2-A3IE-01A-11D-A20D-08	322	41	71
TCGA-G2-A3VY-01A-11D-A22Z-08	855	74	0
TCGA-G2-AA3B-01A-11D-A391-08	855	22	11
TCGA-G2-AA3C-01A-21D-A391-08	195	66	31
TCGA-G2-AA3D-01A-11D-A391-08	252	13	0
TCGA-G2-AA3F-01A-12D-A42E-08	64	95	4
TCGA-GC-A3BM-01A-11D-A22Z-08	28	98	20
TCGA-GC-A3I6-01A-11D-A20D-08	147	33	54
TCGA-GC-A3OO-01A-11D-A22Z-08	96	0	75
TCGA-GC-A3RB-01A-12D-A21Z-08	100	82	27
TCGA-GC-A3RC-01A-11D-A22Z-08	177	181	115
TCGA-GC-A3RD-01A-12D-A22Z-08	38	53	11
TCGA-GC-A3WC-01A-31D-A22Z-08	85	91	19
TCGA-GC-A3YS-01A-11D-A23M-08	171	90	44
TCGA-GC-A4ZW-01A-11D-A26M-08	743	68	17
TCGA-GC-A6I1-01A-12D-A31L-08	203	24	66
TCGA-GC-A6I3-01A-11D-A31L-08	162	129	4
TCGA-GD-A2C5-01A-12D-A17V-08	187	78	54
TCGA-GD-A3OP-01A-21D-A21Z-08	240	74	108
TCGA-GD-A3OQ-01A-32D-A21Z-08	58	50	8
TCGA-GD-A3OS-01A-12D-A21Z-08	24	84	7
TCGA-GD-A6C6-01A-21D-A31L-08	227	77	43
TCGA-GD-A76B-01A-11D-A32B-08	109	67	37
TCGA-GU-A42P-01A-11D-A23U-08	182	53	110
TCGA-GU-A42Q-01A-11D-A23U-08	131	69	22
TCGA-GU-A42R-01A-11D-A23M-08	122	61	29
TCGA-GU-A762-01A-11D-A339-08	36	76	0
TCGA-GU-A763-01A-11D-A32B-08	26	54	0
TCGA-GU-A764-01A-11D-A34U-08	64	48	24
TCGA-GU-A766-01A-11D-A32B-08	175	0	63
TCGA-GU-A767-01A-11D-A32B-08	207	262	3
TCGA-GU-AATO-01A-11D-A391-08	303	15	69
