Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AC-A2BK-01A-11D-A21Q-09	4.46E-02	4.61E-02	4.23E-02	4.02E-02
TCGA-AC-A2BM-01A-11D-A21Q-09	4.23E-02	3.68E-02	4.69E-02	4.56E-02
TCGA-AC-A2FB-01A-11D-A17D-09	4.61E-02	4.16E-02	4.51E-02	4.02E-02
TCGA-AC-A2FF-01A-11D-A17D-09	4.16E-02	2.73E-02	4.56E-02	4.94E-02
TCGA-AC-A2FG-01A-11D-A17D-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-AC-A2FO-01A-11D-A17W-09	8.53E-02	7.08E-02	8.23E-02	6.92E-02
TCGA-AC-A2QH-01A-11D-A18P-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-AC-A3HN-01A-11D-A20S-09	0.00E+00	2.19E-02	1.97E-02	2.88E-02
TCGA-AC-A3OD-01A-11D-A21Q-09	5.01E-02	3.49E-02	3.59E-02	4.35E-02
TCGA-AC-A3W5-01A-11D-A228-09	7.04E-02	1.04E-01	8.47E-02	1.19E-01
TCGA-AC-A3YJ-01A-11D-A22X-09	4.65E-02	4.16E-02	3.86E-02	4.56E-02
TCGA-AC-A4ZE-01A-11D-A41F-09	7.17E-02	7.85E-02	7.32E-02	7.84E-02
TCGA-AC-A5EH-01A-11D-A28B-09	1.63E-01	1.50E-01	1.52E-01	1.52E-01
TCGA-AC-A5EI-01A-11D-A27P-09	2.39E-02	4.02E-02	2.73E-02	2.39E-02
TCGA-AC-A5XS-01A-11D-A29N-09	2.58E-01	3.19E-01	2.14E-01	1.93E-01
TCGA-AC-A62V-01A-11D-A31U-09	8.93E-02	6.99E-02	7.85E-02	7.71E-02
TCGA-AC-A62X-01A-11D-A29N-09	4.35E-02	4.56E-02	4.09E-02	4.35E-02
TCGA-AC-A62Y-01A-11D-A29N-09	0.00E+00	2.19E-02	1.97E-02	2.88E-02
TCGA-AC-A6IV-01A-12D-A33E-09	4.41E-02	4.23E-02	4.65E-02	4.02E-02
TCGA-AC-A6IW-01A-12D-A33E-09	5.66E-02	7.26E-02	8.41E-02	6.89E-02
TCGA-AC-A6IX-01A-12D-A32I-09	4.51E-02	3.49E-02	4.46E-02	4.65E-02
TCGA-AC-A6NO-01A-12D-A33E-09	1.02E-01	9.03E-02	7.09E-02	1.04E-01
TCGA-AC-A7VB-01A-11D-A351-09	0.00E+00	2.19E-02	1.97E-02	2.88E-02
TCGA-AC-A8OP-01A-11D-A36J-09	1.21E-01	1.34E-01	1.74E-01	1.70E-01
TCGA-AC-A8OQ-01A-11D-A41F-09	0.00E+00	4.38E-02	3.94E-02	5.75E-02
TCGA-AN-A03X-01A-21W-A019-09	8.72E-02	7.08E-02	7.58E-02	8.10E-02
TCGA-AN-A03Y-01A-21W-A019-09	0.00E+00	2.19E-02	1.97E-02	2.88E-02
TCGA-AN-A041-01A-11W-A050-09	4.61E-02	3.78E-02	4.23E-02	4.61E-02
TCGA-AN-A046-01A-21W-A050-09	1.84E+00	2.09E+00	2.93E+00	2.17E+00
TCGA-AN-A049-01A-21W-A019-09	5.79E-02	6.44E-02	6.44E-02	8.29E-02
TCGA-AN-A04C-01A-21W-A050-09	8.05E-02	7.16E-02	8.15E-02	6.26E-02
TCGA-AN-A04D-01A-21W-A050-09	1.07E-01	7.93E-02	1.04E-01	1.11E-01
TCGA-AN-A0AJ-01A-11W-A019-09	8.26E-02	8.15E-02	6.67E-02	6.77E-02
TCGA-AN-A0AK-01A-21W-A019-09	3.83E-01	3.00E-01	4.26E-01	4.86E-01
TCGA-AN-A0AL-01A-11W-A019-09	4.92E-02	4.61E-02	3.59E-02	3.59E-02
TCGA-AN-A0AM-01A-11W-A050-09	4.94E-02	3.14E-02	3.94E-02	4.56E-02
TCGA-AN-A0AR-01A-11W-A019-09	5.33E-02	9.87E-02	7.12E-02	1.01E-01
TCGA-AN-A0AS-01A-11W-A019-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-AN-A0AT-01A-11D-A045-09	1.54E-01	1.40E-01	1.27E-01	1.44E-01
TCGA-AN-A0FF-01A-11W-A050-09	4.23E-02	3.68E-02	4.69E-02	4.56E-02
TCGA-AN-A0FJ-01A-11W-A019-09	1.12E-01	1.33E-01	1.08E-01	9.48E-02
TCGA-AN-A0FK-01A-11W-A050-09	4.35E-02	4.56E-02	4.09E-02	4.35E-02
TCGA-AN-A0FL-01A-11W-A050-09	2.20E-01	2.10E-01	2.34E-01	1.91E-01
TCGA-AN-A0FS-01A-11W-A050-09	1.04E-01	1.11E-01	1.01E-01	9.71E-02
TCGA-AN-A0FT-01A-11W-A050-09	6.95E-02	8.16E-02	5.53E-02	6.80E-02
TCGA-AN-A0FV-01A-11W-A019-09	1.51E-01	1.35E-01	1.03E-01	1.25E-01
TCGA-AN-A0FW-01A-11W-A050-09	1.55E-01	1.24E-01	1.79E-01	1.44E-01
TCGA-AN-A0FZ-01A-11W-A050-09	6.86E-02	7.01E-02	8.32E-02	6.98E-02
TCGA-AN-A0G0-01A-11W-A050-09	8.10E-02	7.36E-02	8.26E-02	7.58E-02
TCGA-AN-A0XN-01A-21D-A10G-09	1.12E-01	1.33E-01	1.39E-01	1.40E-01
TCGA-AN-A0XO-01A-11D-A10G-09	4.35E-02	2.88E-02	4.61E-02	4.82E-02
TCGA-AN-A0XP-01A-11D-A117-09	3.68E-02	2.88E-02	4.94E-02	3.68E-02
TCGA-AN-A0XR-01A-11D-A10G-09	8.53E-02	7.56E-02	6.59E-02	6.30E-02
TCGA-AN-A0XT-01A-11D-A10G-09	9.03E-02	6.03E-02	8.46E-02	9.80E-02
TCGA-AN-A0XU-01A-11D-A10G-09	1.17E-01	8.89E-02	1.23E-01	1.10E-01
TCGA-AN-A0XV-01A-11D-A10G-09	3.27E-02	3.94E-02	1.71E-02	1.97E-02
TCGA-AN-A0XW-01A-11D-A10G-09	2.14E-01	2.60E-01	1.53E-01	1.28E-01
TCGA-AO-A03L-01A-41W-A071-09	1.41E-02	3.27E-02	4.23E-02	2.88E-02
TCGA-AO-A03O-01A-11W-A019-09	4.16E-02	2.73E-02	4.56E-02	4.94E-02
TCGA-AO-A03P-01A-11W-A019-09	7.85E-02	5.79E-02	8.42E-02	6.22E-02
TCGA-AO-A03R-01A-21W-A050-09	8.55E-02	6.01E-02	7.28E-02	7.98E-02
TCGA-AO-A03T-01A-21W-A050-09	7.08E-02	6.65E-02	8.47E-02	6.24E-02
TCGA-AO-A03V-01A-11D-A10Y-09	3.27E-02	3.94E-02	1.71E-02	1.97E-02
TCGA-AO-A0J2-01A-11W-A050-09	7.31E-02	8.76E-02	6.89E-02	6.65E-02
TCGA-AO-A0J3-01A-11W-A050-09	8.93E-02	8.43E-02	6.91E-02	7.16E-02
TCGA-AO-A0J4-01A-11W-A050-09	1.33E-01	1.32E-01	1.22E-01	1.25E-01
TCGA-AO-A0J5-01A-11W-A050-09	6.04E-02	4.79E-02	6.57E-02	8.11E-02
TCGA-AO-A0J6-01A-11W-A050-09	1.20E-01	1.13E-01	1.05E-01	1.17E-01
TCGA-AO-A0J7-01A-11W-A050-09	4.35E-02	4.61E-02	4.41E-02	3.94E-02
TCGA-AO-A0J8-01A-21D-A045-09	4.46E-02	2.56E-02	4.35E-02	4.94E-02
TCGA-AO-A0J9-01A-11W-A050-09	1.20E-01	1.17E-01	1.22E-01	1.27E-01
TCGA-AO-A0JB-01A-11W-A071-09	1.26E-01	1.04E-01	1.20E-01	1.35E-01
TCGA-AO-A0JC-01A-11W-A071-09	6.39E-02	7.65E-02	5.60E-02	6.39E-02
TCGA-AO-A0JD-01A-11W-A071-09	1.75E-01	1.52E-01	1.85E-01	1.75E-01
TCGA-AO-A0JE-01A-11W-A071-09	1.15E-01	9.57E-02	9.54E-02	1.17E-01
TCGA-AO-A0JM-01A-21W-A071-09	3.78E-02	5.00E-02	3.68E-02	3.27E-02
TCGA-AO-A124-01A-11D-A10M-09	1.91E-01	1.74E-01	1.60E-01	1.67E-01
TCGA-AO-A128-01A-11D-A10M-09	3.62E-01	1.90E-01	3.55E-01	4.58E-01
TCGA-AO-A12D-01A-11D-A10Y-09	8.59E-02	1.26E-01	7.53E-02	8.79E-02
TCGA-AO-A12F-01A-11D-A10Y-09	3.78E-02	3.38E-02	5.02E-02	4.23E-02
TCGA-AO-A1KP-01A-11D-A13L-09	4.61E-02	4.16E-02	4.41E-02	4.16E-02
TCGA-AO-A1KR-01A-12D-A142-09	1.41E-02	3.27E-02	4.23E-02	2.88E-02
TCGA-AQ-A04J-01A-02W-A050-09	5.95E-02	4.93E-02	6.04E-02	7.83E-02
