Samples	SBS1	SBS2	SBS3	SBS5	SBS6	SBS10a	SBS10b	SBS13	SBS29
TCGA-AQ-A1H3-01A-31D-A13L-09	17	0	0	8	0	0	0	0	0
TCGA-AQ-A54O-01A-11D-A25Q-09	2	0	0	19	6	0	0	0	0
TCGA-AQ-A7U7-01A-22D-A351-09	10	30	0	19	0	0	0	35	0
TCGA-AR-A0TP-01A-11D-A099-09	9	0	61	0	0	0	0	0	0
TCGA-AR-A0TQ-01A-11D-A099-09	2	9	0	0	13	0	0	0	16
TCGA-AR-A0TR-01A-11D-A099-09	7	0	0	22	12	0	0	0	0
TCGA-AR-A0TS-01A-11D-A10Y-09	9	0	71	0	12	0	0	0	0
TCGA-AR-A0TT-01A-31D-A099-09	11	5	23	21	0	0	0	7	0
TCGA-AR-A0TU-01A-31D-A10G-09	10	0	155	18	0	0	0	0	0
TCGA-AR-A0TV-01A-21D-A099-09	15	0	0	61	0	0	0	0	0
TCGA-AR-A0TW-01A-11D-A099-09	20	0	25	12	0	0	0	0	0
TCGA-AR-A0TX-01A-11D-A099-09	18	150	0	45	0	0	0	159	0
TCGA-AR-A0TY-01A-12W-A12T-09	23	0	165	31	0	0	0	0	0
TCGA-AR-A0TZ-01A-12D-A099-09	9	9	0	16	0	0	9	13	0
TCGA-AR-A0U0-01A-11D-A10G-09	0	0	0	145	0	0	0	0	82
TCGA-AR-A0U1-01A-11D-A10Y-09	5	0	90	2	0	0	0	0	0
TCGA-AR-A0U2-01A-11D-A10G-09	5	0	47	23	24	0	0	0	0
TCGA-AR-A0U3-01A-11D-A10G-09	5	0	0	13	11	2	5	0	0
TCGA-AR-A1AH-01A-11D-A12B-09	14	0	69	12	0	9	0	0	0
TCGA-AR-A1AI-01A-11D-A12Q-09	6	0	0	34	10	0	13	15	0
TCGA-AR-A1AJ-01A-21D-A12Q-09	15	12	0	12	0	0	0	8	0
TCGA-AR-A1AK-01A-21D-A12Q-09	12	17	0	19	0	0	8	18	0
TCGA-AR-A1AL-01A-21D-A12Q-09	6	4	0	18	0	0	0	2	0
TCGA-AR-A1AN-01A-11D-A12Q-09	12	0	0	11	0	0	0	4	0
TCGA-AR-A1AO-01A-11D-A12Q-09	14	11	55	2	0	0	11	13	0
TCGA-AR-A1AP-01A-11D-A12Q-09	20	4	0	0	0	0	6	6	0
TCGA-AR-A1AQ-01A-11D-A12Q-09	0	0	0	19	19	0	0	0	0
TCGA-AR-A1AR-01A-31D-A135-09	12	0	40	5	0	0	0	0	0
TCGA-AR-A1AS-01A-11D-A12Q-09	0	10	0	11	14	0	0	4	0
TCGA-AR-A1AT-01A-11D-A12Q-09	1	0	16	6	6	0	0	0	0
TCGA-AR-A1AU-01A-11D-A12Q-09	9	0	0	15	0	0	0	0	0
TCGA-AR-A1AV-01A-21D-A12Q-09	16	0	0	38	0	0	0	0	0
TCGA-AR-A1AW-01A-21D-A12Q-09	1	0	0	31	12	0	0	0	0
TCGA-AR-A1AX-01A-11D-A12Q-09	6	0	0	21	0	0	0	0	0
TCGA-AR-A1AY-01A-21D-A12Q-09	17	7	35	0	0	0	0	0	0
TCGA-AR-A24H-01A-11D-A167-09	16	8	114	0	0	0	0	14	0
TCGA-AR-A24K-01A-11D-A167-09	5	0	0	28	0	0	0	0	0
TCGA-AR-A24L-01A-11D-A167-09	3	0	39	0	0	0	0	0	0
TCGA-AR-A24M-01A-11D-A167-09	7	0	0	23	0	0	0	0	0
TCGA-AR-A24N-01A-11D-A167-09	15	5	0	20	0	0	0	0	0
TCGA-AR-A24O-01A-11D-A167-09	8	0	0	15	0	0	0	0	0
TCGA-AR-A24P-01A-11D-A167-09	5	0	0	15	0	0	5	0	0
TCGA-AR-A24Q-01A-12D-A167-09	0	14	145	0	25	0	0	17	0
TCGA-AR-A24R-01A-11D-A167-09	7	3	0	11	0	0	0	0	0
TCGA-AR-A24S-01A-11D-A167-09	16	6	25	3	0	0	0	3	0
TCGA-AR-A24T-01A-11D-A167-09	9	0	0	12	0	0	0	0	0
TCGA-AR-A24U-01A-11D-A167-09	6	8	0	7	7	0	0	12	0
TCGA-AR-A24V-01A-21D-A167-09	9	0	0	18	0	0	0	0	0
TCGA-AR-A24W-01A-11D-A17G-09	1	0	0	12	0	0	0	0	0
TCGA-AR-A24X-01A-11D-A167-09	4	0	0	34	0	0	8	0	0
TCGA-AR-A24Z-01A-11D-A167-09	0	0	0	32	15	0	0	0	0
TCGA-AR-A250-01A-31D-A167-09	11	16	0	32	18	0	15	38	0
TCGA-AR-A251-01A-12D-A167-09	10	7	133	5	0	0	0	16	0
TCGA-AR-A252-01A-11D-A167-09	4	0	0	3	7	0	0	0	0
TCGA-AR-A254-01A-21D-A167-09	12	0	0	26	0	0	0	0	0
TCGA-AR-A255-01A-11D-A167-09	8	7	0	38	0	7	9	12	0
TCGA-AR-A256-01A-11D-A167-09	13	14	151	37	0	0	0	10	0
TCGA-AR-A2LE-01A-11D-A17W-09	8	156	0	24	0	0	51	112	0
TCGA-AR-A2LH-01A-31D-A18P-09	5	22	0	0	0	0	9	17	0
TCGA-AR-A2LK-01A-11D-A17W-09	15	4	0	23	0	0	0	0	0
TCGA-AR-A2LL-01A-11D-A17W-09	15	0	16	4	0	0	0	0	0
TCGA-AR-A2LM-01A-11D-A17W-09	2	0	0	8	0	0	5	0	0
TCGA-AR-A2LN-01A-21D-A18P-09	5	14	0	17	0	0	8	5	0
TCGA-AR-A2LO-01A-31D-A18P-09	6	0	0	13	0	0	0	0	0
TCGA-AR-A2LQ-01A-22D-A18P-09	4	0	0	9	0	0	0	0	0
TCGA-AR-A2LR-01A-12D-A18P-09	5	0	31	22	9	0	0	0	0
TCGA-AR-A5QM-01A-11D-A27P-09	9	0	0	23	0	0	0	0	0
TCGA-AR-A5QN-01A-12D-A28B-09	7	5	0	18	17	0	0	0	0
TCGA-AR-A5QP-01A-11D-A28B-09	7	3	0	18	0	0	0	0	0
TCGA-AR-A5QQ-01A-11D-A28B-09	4	0	47	30	12	0	0	0	0
TCGA-B6-A0I1-01A-11D-A21Q-09	18	7	32	14	0	0	0	0	0
TCGA-B6-A0I2-01A-11W-A050-09	13	7	0	29	0	0	0	23	0
TCGA-B6-A0I5-01A-11W-A100-09	4	0	0	18	9	0	0	0	0
TCGA-B6-A0I6-01A-11D-A128-09	5	0	81	0	12	0	0	0	0
TCGA-B6-A0I8-01A-11W-A050-09	20	11	95	10	0	0	0	6	0
TCGA-B6-A0I9-01A-11W-A050-09	32	0	29	23	0	0	0	0	0
TCGA-B6-A0IA-01A-11W-A050-09	2	0	62	30	0	0	0	0	0
TCGA-B6-A0IB-01A-11W-A050-09	3	0	30	22	26	0	0	0	0
TCGA-B6-A0IC-01A-11W-A050-09	8	0	0	26	0	0	0	0	14
TCGA-B6-A0IE-01A-11W-A050-09	11	0	27	21	0	0	0	0	0
TCGA-B6-A0IH-01A-11D-A10Y-09	0	0	0	16	14	0	6	0	0
TCGA-B6-A0IJ-01A-11W-A050-09	11	8	101	0	0	0	0	24	0
TCGA-B6-A0IK-01A-12W-A071-09	23	92	0	68	0	0	0	45	0
TCGA-B6-A0IM-01A-11W-A050-09	11	0	29	13	0	0	0	0	0
TCGA-B6-A0IN-01A-11W-A050-09	10	0	0	49	0	0	0	0	0
TCGA-B6-A0RE-01A-11W-A071-09	22	22	96	26	0	0	0	22	0
TCGA-B6-A0RG-01A-11W-A071-09	6	5	42	17	0	0	0	9	0
TCGA-B6-A0RH-01A-21D-A10Y-09	9	10	0	14	0	0	0	3	0
TCGA-B6-A0RI-01A-11W-A071-09	2	5	0	6	0	0	9	8	0
TCGA-B6-A0RL-01A-11D-A099-09	7	10	0	23	22	0	0	0	0
TCGA-B6-A0RM-01A-11D-A099-09	14	6	0	13	0	0	0	0	0
TCGA-B6-A0RN-01A-12D-A099-09	11	0	0	21	0	0	0	0	0
TCGA-B6-A0RO-01A-22D-A099-09	0	0	21	3	7	0	8	0	0
TCGA-B6-A0RP-01A-21D-A099-09	1	0	0	17	7	0	0	0	0
TCGA-B6-A0RQ-01A-11D-A10Y-09	5	14	0	18	8	0	0	4	0
TCGA-B6-A0RS-01A-11D-A099-09	11	11	110	21	0	0	0	10	0
TCGA-B6-A0RT-01A-21D-A099-09	5	0	41	0	0	0	0	9	0
TCGA-B6-A0RU-01A-11D-A099-09	10	0	25	15	0	0	6	0	0
TCGA-B6-A0RV-01A-11D-A099-09	9	24	0	5	0	0	0	23	0
TCGA-B6-A0WS-01A-11D-A10Y-09	1	0	0	18	0	0	0	0	0
TCGA-B6-A0WT-01A-11D-A10G-09	2	0	0	11	5	0	4	0	0
TCGA-B6-A0WV-01A-11D-A10G-09	5	0	0	30	0	0	0	0	0
TCGA-B6-A0WW-01A-11D-A10G-09	6	5	0	22	0	0	0	6	0
TCGA-B6-A0WX-01A-11D-A10G-09	13	0	0	29	0	0	0	0	0
TCGA-B6-A0WY-01A-11D-A10G-09	3	0	0	22	9	0	0	0	0
TCGA-B6-A0WZ-01A-11D-A10G-09	5	36	0	23	0	0	0	21	0
TCGA-B6-A0X0-01A-21D-A10Y-09	4	0	14	0	0	0	5	0	0
TCGA-B6-A0X1-01A-11D-A10G-09	5	0	0	53	0	0	10	14	0
TCGA-B6-A0X4-01A-11D-A10G-09	5	0	0	11	0	2	10	0	0
TCGA-B6-A0X5-01A-21D-A10G-09	4	0	0	26	0	4	12	0	0
TCGA-B6-A1KC-01B-11D-A159-09	16	0	0	13	0	0	0	0	0
TCGA-B6-A1KF-01A-11D-A13L-09	12	7	39	0	0	0	0	0	0
TCGA-B6-A1KI-01A-11D-A14K-09	9	0	0	13	0	0	0	0	0
TCGA-B6-A1KN-01A-11D-A13L-09	12	0	0	42	0	11	0	0	0
TCGA-B6-A2IU-01A-32D-A19T-09	1	11	0	13	20	0	0	0	0
TCGA-B6-A401-01A-11D-A23C-09	2	0	0	14	10	0	0	0	0
TCGA-B6-A409-01A-11D-A243-09	16	0	0	46	0	0	0	0	0
TCGA-B6-A40B-01A-11D-A23C-09	2	10	29	4	13	0	0	4	0
TCGA-B6-A40C-01A-11D-A23C-09	18	0	0	29	0	0	0	0	0
TCGA-BH-A0AU-01A-11D-A12Q-09	1	0	0	4	9	0	0	0	8
TCGA-BH-A0AV-01A-31D-A10Y-09	3	0	0	62	0	0	0	9	0
TCGA-BH-A0AW-01A-11W-A071-09	7	52	0	42	35	0	0	48	0
TCGA-BH-A0AY-01A-21W-A019-09	13	9	44	17	0	0	10	0	0
TCGA-BH-A0AZ-01A-21D-A12Q-09	4	6	47	0	0	0	0	5	0
TCGA-BH-A0B0-01A-21D-A10Y-09	5	44	0	2	0	0	14	18	0
TCGA-BH-A0B1-01A-12W-A071-09	16	0	50	36	0	0	0	0	0
TCGA-BH-A0B3-01A-11W-A071-09	11	0	36	9	0	0	0	0	0
TCGA-BH-A0B4-01A-11W-A019-09	8	0	67	12	0	0	0	0	0
TCGA-BH-A0B5-01A-11D-A12Q-09	4	24	0	14	0	0	0	25	0
TCGA-BH-A0B6-01A-11D-A19Y-09	42	551	0	127	0	0	0	515	0
TCGA-BH-A0B7-01A-12D-A10Y-09	5	0	0	18	12	0	9	0	0
TCGA-BH-A0B8-01A-21W-A071-09	0	9	49	12	24	0	0	0	0
TCGA-BH-A0B9-01A-11W-A071-09	9	3	28	0	0	0	0	7	0
TCGA-BH-A0BA-01A-11W-A071-09	9	6	0	38	0	0	0	6	0
TCGA-BH-A0BC-01A-22D-A099-09	11	6	0	14	0	0	5	3	0
TCGA-BH-A0BD-01A-11W-A050-09	5	4	0	23	0	0	0	0	0
TCGA-BH-A0BF-01A-21D-A12Q-09	4	0	0	26	0	0	0	5	0
TCGA-BH-A0BG-01A-11D-A10Y-09	4	5	27	0	7	0	0	0	0
TCGA-BH-A0BJ-01A-11W-A071-09	7	0	0	37	0	0	0	0	0
TCGA-BH-A0BL-01A-11D-A10Y-09	13	0	51	0	0	0	0	0	0
TCGA-BH-A0BM-01A-11W-A071-09	0	6	45	0	11	0	0	0	0
TCGA-BH-A0BO-01A-23D-A12B-09	7	0	0	22	0	0	0	0	0
TCGA-BH-A0BP-01A-11D-A10Y-09	10	20	69	0	25	0	17	27	0
TCGA-BH-A0BQ-01A-21D-A10Y-09	5	0	0	13	10	0	0	0	0
TCGA-BH-A0BR-01A-21W-A12T-09	10	15	0	18	0	0	14	5	0
TCGA-BH-A0BS-01A-11D-A12Q-09	2	0	0	19	0	0	0	0	0
TCGA-BH-A0BT-01A-11D-A12Q-09	6	0	0	21	13	0	0	0	0
TCGA-BH-A0BV-01A-11W-A019-09	6	5	0	24	0	0	0	0	0
TCGA-BH-A0BW-01A-11D-A10Y-09	9	0	58	13	12	0	0	0	0
TCGA-BH-A0BZ-01A-31D-A12Q-09	4	10	194	1	31	0	0	21	0
TCGA-BH-A0C0-01A-21W-A071-09	6	0	85	10	0	0	0	0	0
TCGA-BH-A0C1-01B-11D-A12B-09	2	8	0	0	33	0	0	0	0
TCGA-BH-A0C3-01A-21D-A12Q-09	6	0	0	10	0	0	0	0	0
TCGA-BH-A0C7-01B-11D-A10Y-09	15	0	0	43	0	0	0	0	0
TCGA-BH-A0DD-01A-31D-A12Q-09	12	4	0	12	0	0	0	0	0
TCGA-BH-A0DE-01A-11D-A10Y-09	9	0	0	26	0	0	0	0	0
TCGA-BH-A0DG-01A-21D-A12Q-09	3	0	0	15	0	0	8	6	0
TCGA-BH-A0DH-01A-11D-A099-09	11	10	0	13	12	0	0	0	0
TCGA-BH-A0DI-01A-21D-A12Q-09	7	8	21	0	0	0	0	8	0
TCGA-BH-A0DK-01A-21W-A071-09	18	0	92	0	0	0	0	0	0
TCGA-BH-A0DL-01A-11D-A10Y-09	12	10	0	18	18	0	0	6	0
TCGA-BH-A0DO-01B-11D-A12B-09	1	0	0	20	0	0	5	0	0
TCGA-BH-A0DP-01A-21W-A071-09	1	0	0	52	0	0	0	0	0
TCGA-BH-A0DQ-01A-11D-A099-09	1	0	0	19	14	0	0	0	0
TCGA-BH-A0DS-01A-11W-A071-09	19	0	27	24	0	0	0	0	0
TCGA-BH-A0DT-01A-21D-A12B-09	5	3	0	7	0	0	0	0	0
TCGA-BH-A0DV-01A-21D-A12Q-09	0	3	0	11	0	0	0	0	0
TCGA-BH-A0DX-01A-11D-A10Y-09	15	28	0	12	0	0	0	13	0
TCGA-BH-A0DZ-01A-11W-A019-09	8	127	0	26	0	0	33	175	0
TCGA-BH-A0E0-01A-11W-A071-09	22	0	0	22	0	0	0	0	0
TCGA-BH-A0E1-01A-11W-A071-09	12	6	0	11	0	0	0	11	0
TCGA-BH-A0E2-01A-11W-A071-09	9	0	0	58	0	0	0	0	0
TCGA-BH-A0E7-01A-11W-A050-09	14	0	0	34	0	0	0	0	0
TCGA-BH-A0E9-01B-11D-A10Y-09	9	0	0	22	0	0	0	0	0
TCGA-BH-A0EA-01A-11D-A10Y-09	1	0	0	16	9	0	0	0	0
TCGA-BH-A0EB-01A-11W-A050-09	6	0	28	14	15	0	0	0	0
TCGA-BH-A0EE-01A-11W-A050-09	24	35	0	62	0	0	30	17	0
TCGA-BH-A0EI-01A-11D-A10Y-09	5	0	0	15	0	0	0	0	0
TCGA-BH-A0GY-01A-11W-A071-09	4	0	0	53	13	0	0	0	0
TCGA-BH-A0GZ-01A-11W-A071-09	13	5	0	23	0	0	0	0	0
TCGA-BH-A0H0-01A-11W-A071-09	2	0	0	27	0	0	0	0	0
TCGA-BH-A0H3-01A-11D-A12Q-09	4	0	0	11	0	0	0	0	0
TCGA-BH-A0H5-01A-21D-A10Y-09	3	52	0	0	0	0	27	62	0
TCGA-BH-A0H6-01A-21W-A071-09	13	0	0	16	0	0	0	0	0
TCGA-BH-A0H7-01A-13W-A071-09	20	8	0	50	0	0	0	8	0
TCGA-BH-A0H9-01A-11W-A071-09	7	7	24	16	0	0	0	0	0
TCGA-BH-A0HA-01A-11D-A12Q-09	105	0	0	218	0	0	0	0	0
TCGA-BH-A0HB-01A-11W-A071-09	4	0	0	21	16	0	8	0	0
TCGA-BH-A0HF-01A-11W-A071-09	0	168	0	972	359	0	0	0	0
TCGA-BH-A0HI-01A-11D-A099-09	7	5	0	14	0	3	2	0	0
TCGA-BH-A0HK-01A-11W-A071-09	7	50	0	37	22	0	0	31	0
TCGA-BH-A0HL-01A-11W-A050-09	12	0	19	13	0	0	0	0	0
TCGA-BH-A0HN-01A-11D-A099-09	10	0	0	13	0	0	6	0	0
TCGA-BH-A0HO-01A-11W-A050-09	2	0	0	15	5	3	0	0	0
TCGA-BH-A0HP-01A-12D-A099-09	13	125	0	5	0	0	29	136	0
TCGA-BH-A0HQ-01A-11W-A050-09	10	11	0	34	0	0	0	0	0
TCGA-BH-A0HU-01A-11W-A050-09	2	0	31	4	6	0	0	0	0
TCGA-BH-A0HW-01A-11W-A050-09	10	0	0	12	15	0	0	0	0
TCGA-BH-A0HX-01A-21W-A071-09	4	9	64	0	11	0	0	0	0
TCGA-BH-A0HY-01A-11W-A071-09	10	0	0	41	13	0	12	0	0
TCGA-BH-A0RX-01A-21D-A099-09	18	0	0	17	0	0	6	0	0
TCGA-BH-A0W3-01A-11D-A10G-09	3	0	0	17	0	0	0	0	0
TCGA-BH-A0W4-01A-11D-A10G-09	8	0	0	19	0	0	9	0	0
TCGA-BH-A0W5-01A-11D-A10G-09	6	0	0	17	0	0	0	0	0
TCGA-BH-A0W7-01A-11D-A10Y-09	8	97	0	25	0	0	0	109	0
TCGA-BH-A0WA-01A-11D-A10G-09	4	13	73	0	12	0	0	0	0
TCGA-BH-A18F-01A-11D-A12B-09	11	12	0	19	0	0	9	0	0
TCGA-BH-A18G-01A-11D-A12B-09	96	0	0	671	660	0	0	0	0
TCGA-BH-A18H-01A-11D-A12B-09	0	6	0	28	14	0	0	5	0
TCGA-BH-A18I-01A-11D-A12B-09	5	0	0	0	12	0	8	0	0
TCGA-BH-A18J-01A-11D-A12B-09	8	51	0	18	0	0	0	28	0
TCGA-BH-A18K-01A-11D-A12B-09	7	12	0	31	0	0	0	12	0
TCGA-BH-A18L-01A-32D-A12B-09	23	0	0	38	0	0	0	0	0
TCGA-BH-A18M-01A-11D-A12B-09	8	0	0	4	0	0	0	3	0
TCGA-BH-A18N-01A-11D-A12B-09	13	0	0	25	0	0	0	0	0
TCGA-BH-A18P-01A-11D-A12B-09	13	149	0	33	0	0	39	133	0
TCGA-BH-A18Q-01A-12D-A12B-09	3	0	64	22	0	0	0	0	0
TCGA-BH-A18R-01A-11D-A12B-09	4	0	0	30	0	0	0	0	0
TCGA-BH-A18S-01A-11D-A12B-09	5	0	28	0	0	0	0	0	0
TCGA-BH-A18T-01A-11D-A12B-09	10	4	55	6	0	0	0	11	0
TCGA-BH-A18U-01A-21D-A12B-09	21	43	0	57	0	0	0	26	0
TCGA-BH-A18V-01A-11D-A12B-09	9	26	133	0	0	0	0	59	0
TCGA-BH-A1EN-01A-11D-A17G-09	21	0	0	49	0	0	0	0	0
TCGA-BH-A1EO-01A-11D-A135-09	19	0	0	19	0	0	0	0	0
TCGA-BH-A1ES-01A-11D-A135-09	1	0	0	9	0	0	5	0	0
TCGA-BH-A1ET-01A-11D-A135-09	8	0	14	12	0	0	0	0	0
TCGA-BH-A1EU-01A-11D-A135-09	3	0	0	18	0	0	0	0	0
TCGA-BH-A1EV-01A-11D-A135-09	10	21	0	29	0	0	24	25	0
TCGA-BH-A1EW-01A-11D-A135-09	1	0	0	8	0	0	2	0	0
TCGA-BH-A1EX-01A-11D-A13L-09	7	0	0	12	0	0	6	0	0
TCGA-BH-A1EY-01A-11D-A13L-09	9	4	0	19	0	0	8	8	0
TCGA-BH-A1F0-01A-11D-A135-09	8	0	0	60	0	0	0	12	0
TCGA-BH-A1F2-01A-31D-A13L-09	21	9	0	23	0	0	0	5	0
TCGA-BH-A1F5-01A-12D-A13L-09	7	0	28	0	0	0	6	0	0
TCGA-BH-A1F6-01A-11D-A13L-09	14	0	0	34	0	0	0	0	0
TCGA-BH-A1F8-01A-11D-A13L-09	17	66	0	44	0	0	0	46	0
TCGA-BH-A1FC-01A-11D-A13L-09	25	12	44	9	0	0	0	13	0
TCGA-BH-A1FD-01A-11W-A14Q-09	2	0	0	31	8	0	0	0	0
TCGA-BH-A1FE-01A-11D-A13L-09	2	5	15	0	0	0	3	0	0
TCGA-BH-A1FG-01A-11D-A13L-09	9	0	0	17	0	0	0	0	0
TCGA-BH-A1FH-01A-12D-A13L-09	11	0	0	10	0	0	0	0	0
TCGA-BH-A1FJ-01A-11D-A13L-09	16	4	0	15	0	0	0	0	0
TCGA-BH-A1FL-01A-11D-A13L-09	5	0	0	18	0	0	0	0	0
TCGA-BH-A1FM-01A-11D-A13L-09	17	7	0	26	0	0	0	7	0
TCGA-BH-A1FN-01A-11D-A13L-09	6	28	56	7	0	0	0	34	0
TCGA-BH-A1FR-01A-11D-A13L-09	6	0	10	0	0	0	0	0	0
TCGA-BH-A1FU-01A-11D-A14G-09	4	0	50	22	13	0	13	12	0
TCGA-BH-A201-01A-11D-A14K-09	2	0	0	16	0	2	3	0	0
TCGA-BH-A202-01A-11D-A14K-09	7	4	17	0	0	0	0	0	0
TCGA-BH-A203-01A-12D-A167-09	19	7	0	18	20	0	11	8	0
TCGA-BH-A204-01A-11D-A159-09	10	0	24	16	0	0	0	0	0
TCGA-BH-A208-01A-11D-A159-09	10	16	0	35	0	0	0	24	0
TCGA-BH-A209-01A-11D-A17G-09	3	33	0	35	0	0	0	45	0
TCGA-BH-A28Q-01A-11D-A16D-09	5	0	0	9	11	0	0	0	0
TCGA-BH-A2L8-01A-11D-A18P-09	19	251	0	35	0	0	0	238	0
TCGA-BH-A42U-01A-12D-A243-09	3	6	0	4	0	0	0	4	7
TCGA-BH-A42V-01A-11D-A243-09	6	19	0	9	0	0	9	14	0
TCGA-BH-A5IZ-01A-11D-A27P-09	15	0	75	4	0	0	0	0	0
TCGA-BH-A5J0-01A-11D-A27P-09	11	29	0	19	0	0	17	13	0
TCGA-BH-A6R8-01A-21D-A33E-09	12	0	17	3	0	0	7	0	0
TCGA-BH-A6R9-01A-21D-A32I-09	4	0	15	0	0	3	0	0	0
TCGA-BH-A8FY-01A-11D-A36J-09	2	0	31	4	10	0	0	0	0
TCGA-BH-A8FZ-01A-11D-A351-09	5	0	62	4	11	0	0	0	0
TCGA-BH-A8G0-01A-11D-A351-09	7	0	0	16	0	0	0	0	0
TCGA-BH-AB28-01A-31D-A41F-09	10	0	0	26	0	0	0	0	0
TCGA-C8-A12K-01A-21D-A10Y-09	10	11	100	0	0	0	0	38	0
TCGA-C8-A12L-01A-11D-A10Y-09	4	0	57	0	13	0	0	0	0
TCGA-C8-A12M-01A-11D-A135-09	22	0	41	0	0	0	11	0	0
TCGA-C8-A12N-01A-11D-A10Y-09	6	0	0	12	7	0	0	0	0
TCGA-C8-A12O-01A-11D-A10Y-09	19	0	0	20	0	0	0	0	0
TCGA-C8-A12P-01A-11D-A10Y-09	18	50	0	46	0	0	17	53	0
TCGA-C8-A12Q-01A-11D-A10Y-09	8	40	0	27	0	0	17	31	0
TCGA-C8-A12T-01A-11D-A10Y-09	12	70	0	26	0	0	0	80	0
TCGA-C8-A12U-01A-11D-A10Y-09	18	0	0	41	0	0	0	0	0
TCGA-C8-A12V-01A-11D-A10Y-09	7	0	36	5	0	0	0	0	0
TCGA-C8-A12W-01A-11D-A10Y-09	34	0	0	24	0	0	9	0	0
TCGA-C8-A12X-01A-11D-A10Y-09	7	0	0	25	20	0	8	0	0
TCGA-C8-A12Y-01A-11D-A12B-09	10	5	0	12	20	0	0	0	0
TCGA-C8-A12Z-01A-11D-A10Y-09	7	9	0	19	11	0	0	9	0
TCGA-C8-A130-01A-31D-A10Y-09	19	0	0	28	0	0	0	0	0
TCGA-C8-A131-01A-11D-A10Y-09	2	7	0	24	18	0	14	0	0
TCGA-C8-A132-01A-31D-A10Y-09	9	12	0	36	0	0	0	22	0
TCGA-C8-A133-01A-32D-A12B-09	1	0	0	30	0	0	0	0	0
TCGA-C8-A134-01A-11D-A10Y-09	11	0	83	0	0	8	0	0	0
TCGA-C8-A135-01A-11D-A10Y-09	18	4	0	23	19	0	0	8	0
TCGA-C8-A137-01A-11D-A10Y-09	13	12	0	9	0	0	13	11	0
TCGA-C8-A138-01A-11D-A10Y-09	15	0	0	24	0	7	0	0	0
TCGA-C8-A1HE-01A-11D-A188-09	5	19	0	32	0	0	0	8	0
TCGA-C8-A1HF-01A-11D-A135-09	5	6	0	20	0	0	0	6	0
TCGA-C8-A1HG-01A-11D-A135-09	19	5	0	32	0	0	0	0	0
TCGA-C8-A1HI-01A-11D-A135-09	26	7	0	25	0	0	0	0	0
TCGA-C8-A1HJ-01A-11D-A13L-09	7	0	109	1	0	0	0	0	0
TCGA-C8-A1HK-01A-21D-A13L-09	0	5	0	14	13	0	7	23	0
TCGA-C8-A1HL-01A-11D-A135-09	1	0	0	14	13	0	0	0	0
TCGA-C8-A1HM-01A-12D-A135-09	23	114	0	67	0	0	0	221	0
TCGA-C8-A1HN-01A-11D-A135-09	18	0	30	11	0	0	0	0	0
TCGA-C8-A1HO-01A-11D-A13L-09	7	5	17	8	0	0	0	0	0
TCGA-C8-A26V-01A-11D-A16D-09	12	17	0	26	0	0	0	30	0
TCGA-C8-A26W-01A-11D-A16D-09	3	14	0	24	0	0	10	10	0
TCGA-C8-A26X-01A-31D-A16D-09	7	0	0	46	17	0	0	0	0
TCGA-C8-A26Y-01A-11D-A16D-09	29	298	0	141	0	0	0	340	0
TCGA-C8-A26Z-01A-11D-A16D-09	17	0	0	28	0	0	0	0	0
TCGA-C8-A273-01A-11D-A16D-09	10	0	0	8	0	0	0	0	0
TCGA-C8-A274-01A-11D-A16D-09	17	102	0	39	0	0	0	81	0
TCGA-C8-A275-01A-21D-A16D-09	6	29	0	41	0	0	0	45	0
TCGA-C8-A278-01A-11D-A167-09	13	7	0	17	0	0	0	6	0
TCGA-C8-A27A-01A-11D-A167-09	9	0	0	21	0	0	6	0	0
TCGA-C8-A27B-01A-11D-A167-09	8	14	74	0	0	0	0	61	0
TCGA-C8-A3M7-01A-12D-A21Q-09	24	106	0	0	0	0	29	47	0
TCGA-C8-A3M8-01A-11D-A20S-09	16	0	27	10	0	0	0	0	0
TCGA-C8-A8HP-01A-11D-A36J-09	15	85	0	24	0	0	20	97	0
TCGA-C8-A8HQ-01A-11D-A36J-09	21	141	0	17	0	0	36	121	0
TCGA-C8-A8HR-01A-11D-A36J-09	11	0	0	44	0	0	0	0	0
TCGA-C8-A9FZ-01A-11D-A41F-09	4	0	0	1	22	0	0	0	0
TCGA-D8-A13Y-01A-11D-A10Y-09	3	9	0	36	11	0	0	11	0
TCGA-D8-A13Z-01A-11D-A10Y-09	20	0	62	7	0	0	0	12	0
TCGA-D8-A140-01A-11D-A10Y-09	17	20	48	14	26	0	0	0	0
TCGA-D8-A141-01A-11D-A10Y-09	5	0	0	15	0	0	0	0	0
TCGA-D8-A142-01A-11D-A10Y-09	42	0	0	90	0	0	0	14	0
TCGA-D8-A143-01A-11D-A10Y-09	11	0	41	0	0	0	0	0	0
TCGA-D8-A145-01A-11D-A10Y-09	4	0	19	7	13	0	0	0	0
TCGA-D8-A146-01A-31D-A10Y-09	9	5	0	18	0	0	8	0	0
TCGA-D8-A147-01A-11D-A10Y-09	11	19	119	4	0	0	0	33	0
TCGA-D8-A1J8-01A-11D-A13L-09	11	236	0	153	232	0	0	248	0
TCGA-D8-A1J9-01A-11D-A13L-09	13	98	0	30	0	0	0	103	0
TCGA-D8-A1JA-01A-11D-A13L-09	45	337	0	29	0	0	0	662	0
TCGA-D8-A1JB-01A-11D-A13L-09	5	0	30	13	0	0	0	0	0
