Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-FD-A5BX-01A-11D-A26M-08	30	41	0	1	4	0
TCGA-FD-A5BY-01A-31D-A289-08	3	0	3	3	0	1
TCGA-FD-A5BZ-01A-11D-A289-08	2	5	2	9	5	0
TCGA-FD-A5C0-01A-11D-A289-08	2	4	7	3	0	16
TCGA-FD-A5C1-01A-11D-A289-08	1	7	13	0	3	1
TCGA-FD-A62N-01A-11D-A30E-08	1	0	0	11	0	3
TCGA-FD-A62O-01A-11D-A30E-08	9	12	1	0	4	10
TCGA-FD-A62P-01A-32D-A30E-08	16	12	28	0	10	0
TCGA-FD-A62S-01A-11D-A30E-08	0	0	8	0	0	4
TCGA-FD-A6TA-01A-12D-A339-08	12	24	9	0	0	0
TCGA-FD-A6TB-01A-12D-A339-08	6	19	1	0	1	2
TCGA-FD-A6TC-01A-21D-A339-08	72	76	0	0	5	16
TCGA-FD-A6TD-01A-51D-A339-08	7	4	5	3	0	3
TCGA-FD-A6TE-01A-12D-A339-08	10	19	0	0	0	3
TCGA-FD-A6TF-01A-52D-A32B-08	3	15	0	4	2	8
TCGA-FD-A6TG-01A-11D-A32B-08	24	21	0	30	7	8
TCGA-FD-A6TH-01A-11D-A32B-08	2	3	18	0	3	8
TCGA-FD-A6TI-01A-11D-A32B-08	2	2	0	11	2	0
TCGA-FD-A6TK-01A-42D-A339-08	3	7	0	8	0	5
TCGA-FJ-A3Z7-01A-12D-A23M-08	25	12	13	0	0	15
TCGA-FJ-A3Z9-01A-11D-A26M-08	1	0	0	4	2	6
TCGA-FJ-A3ZE-01A-11D-A23M-08	3	0	6	60	3	0
TCGA-FJ-A3ZF-01A-11D-A23M-08	14	4	11	8	5	0
TCGA-FJ-A871-01A-11D-A34U-08	0	2	3	2	2	2
TCGA-FT-A3EE-01A-11D-A202-08	3	2	4	11	0	4
TCGA-FT-A61P-01A-11D-A30E-08	6	7	1	13	1	5
TCGA-G2-A2EC-01A-11D-A17V-08	18	5	1	0	6	1
TCGA-G2-A2EF-01A-12D-A18F-08	21	24	0	9	1	0
TCGA-G2-A2EJ-01A-11D-A17V-08	4	13	24	0	0	0
TCGA-G2-A2EK-01A-22D-A18F-08	1	2	0	0	0	5
TCGA-G2-A2EL-01A-12D-A18F-08	9	13	0	2	4	6
TCGA-G2-A2EO-01A-11D-A17V-08	56	74	0	0	11	8
TCGA-G2-A2ES-01A-11D-A17V-08	18	6	0	39	5	5
TCGA-G2-A3IB-01A-11D-A20D-08	0	0	0	8	2	0
TCGA-G2-A3IE-01A-11D-A20D-08	17	23	6	0	0	0
TCGA-G2-A3VY-01A-11D-A22Z-08	35	83	0	3	0	1
TCGA-G2-AA3B-01A-11D-A391-08	38	63	0	6	13	0
TCGA-G2-AA3C-01A-21D-A391-08	14	19	11	1	4	1
TCGA-G2-AA3D-01A-11D-A391-08	17	27	0	0	1	0
TCGA-G2-AA3F-01A-12D-A42E-08	2	4	8	4	0	1
TCGA-GC-A3BM-01A-11D-A22Z-08	5	3	0	0	3	12
TCGA-GC-A3I6-01A-11D-A20D-08	10	3	8	3	3	2
TCGA-GC-A3OO-01A-11D-A22Z-08	10	3	9	6	3	0
TCGA-GC-A3RB-01A-12D-A21Z-08	2	9	10	0	3	6
TCGA-GC-A3RC-01A-11D-A22Z-08	18	11	0	29	4	5
TCGA-GC-A3RD-01A-12D-A22Z-08	3	5	0	7	0	0
TCGA-GC-A3WC-01A-31D-A22Z-08	2	4	17	0	0	1
TCGA-GC-A3YS-01A-11D-A23M-08	6	11	6	5	7	0
TCGA-GC-A4ZW-01A-11D-A26M-08	25	32	60	0	2	0
TCGA-GC-A6I1-01A-12D-A31L-08	12	3	13	0	3	0
