Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-AR-A0U2-01A-11D-A10G-09	4	0	41	18	14	1	16	14
TCGA-AR-A0U3-01A-11D-A10G-09	0	2	5	12	4	6	2	7
TCGA-AR-A1AH-01A-11D-A12B-09	3	10	14	8	32	9	37	4
TCGA-AR-A1AI-01A-11D-A12Q-09	4	15	14	15	3	12	3	19
TCGA-AR-A1AJ-01A-21D-A12Q-09	17	10	0	16	4	3	0	0
TCGA-AR-A1AK-01A-21D-A12Q-09	21	18	0	14	0	6	10	9
TCGA-AR-A1AL-01A-21D-A12Q-09	5	3	1	9	5	0	4	3
TCGA-AR-A1AN-01A-11D-A12Q-09	0	4	4	16	4	1	0	2
TCGA-AR-A1AO-01A-11D-A12Q-09	13	16	31	14	0	7	20	12
TCGA-AR-A1AP-01A-11D-A12Q-09	5	4	5	17	4	4	0	2
TCGA-AR-A1AQ-01A-11D-A12Q-09	2	1	5	9	9	0	4	9
TCGA-AR-A1AR-01A-31D-A135-09	3	8	14	15	1	1	10	13
TCGA-AR-A1AS-01A-11D-A12Q-09	14	3	0	3	13	5	2	2
TCGA-AR-A1AT-01A-11D-A12Q-09	1	2	6	8	7	0	4	3
TCGA-AR-A1AU-01A-11D-A12Q-09	1	0	11	8	3	0	0	2
TCGA-AR-A1AV-01A-21D-A12Q-09	4	1	4	20	3	5	11	7
TCGA-AR-A1AW-01A-21D-A12Q-09	3	1	13	9	7	0	4	8
TCGA-AR-A1AX-01A-11D-A12Q-09	2	0	14	6	0	4	0	4
TCGA-AR-A1AY-01A-21D-A12Q-09	7	4	10	18	1	3	13	11
TCGA-AR-A24H-01A-11D-A167-09	7	21	72	15	0	3	21	25
TCGA-AR-A24K-01A-11D-A167-09	0	0	11	6	5	3	5	7
TCGA-AR-A24L-01A-11D-A167-09	3	6	11	2	2	0	18	7
TCGA-AR-A24M-01A-11D-A167-09	1	0	4	6	9	0	8	2
TCGA-AR-A24N-01A-11D-A167-09	5	0	1	15	5	0	10	8
TCGA-AR-A24O-01A-11D-A167-09	0	2	6	10	1	0	0	4
TCGA-AR-A24P-01A-11D-A167-09	0	1	7	7	2	4	2	4
TCGA-AR-A24Q-01A-12D-A167-09	18	21	62	0	30	8	57	24
TCGA-AR-A24R-01A-11D-A167-09	3	0	0	11	9	0	0	5
TCGA-AR-A24S-01A-11D-A167-09	8	4	15	19	9	0	0	2
TCGA-AR-A24T-01A-11D-A167-09	2	1	0	11	0	1	9	1
TCGA-AR-A24U-01A-11D-A167-09	10	11	0	9	1	2	7	4
TCGA-AR-A24V-01A-21D-A167-09	3	3	3	8	4	4	5	0
TCGA-AR-A24W-01A-11D-A17G-09	0	0	0	1	1	1	5	7
TCGA-AR-A24X-01A-11D-A167-09	1	0	12	5	7	6	16	1
TCGA-AR-A24Z-01A-11D-A167-09	4	3	9	10	6	1	14	6
TCGA-AR-A250-01A-31D-A167-09	22	47	9	21	11	12	10	11
TCGA-AR-A251-01A-12D-A167-09	6	29	74	11	11	0	37	23
TCGA-AR-A252-01A-11D-A167-09	1	0	0	9	2	0	0	2
TCGA-AR-A254-01A-21D-A167-09	5	0	6	14	0	4	8	4
TCGA-AR-A255-01A-11D-A167-09	11	14	0	8	12	14	22	5
TCGA-AR-A256-01A-11D-A167-09	13	13	109	7	13	10	47	29
TCGA-AR-A2LE-01A-11D-A17W-09	217	114	2	3	0	27	0	18
TCGA-AR-A2LH-01A-31D-A18P-09	24	13	11	5	0	5	0	3
TCGA-AR-A2LK-01A-11D-A17W-09	6	0	5	21	8	1	3	5
TCGA-AR-A2LL-01A-11D-A17W-09	0	0	8	19	0	3	5	3
TCGA-AR-A2LM-01A-11D-A17W-09	3	0	5	1	1	3	4	0
TCGA-AR-A2LN-01A-21D-A18P-09	19	4	6	6	2	4	3	6
TCGA-AR-A2LO-01A-31D-A18P-09	0	1	10	4	0	1	3	0
TCGA-AR-A2LQ-01A-22D-A18P-09	0	0	4	6	0	0	3	1
TCGA-AR-A2LR-01A-12D-A18P-09	1	4	10	15	4	6	15	17
TCGA-AR-A5QM-01A-11D-A27P-09	0	0	2	12	2	1	11	9
TCGA-AR-A5QN-01A-12D-A28B-09	6	0	0	15	8	5	9	9
TCGA-AR-A5QP-01A-11D-A28B-09	4	0	4	7	6	3	0	5
TCGA-AR-A5QQ-01A-11D-A28B-09	5	11	37	7	20	1	10	9
TCGA-B6-A0I1-01A-11D-A21Q-09	8	0	30	23	3	2	9	2
TCGA-B6-A0I2-01A-11W-A050-09	9	29	0	17	1	4	7	10
TCGA-B6-A0I5-01A-11W-A100-09	0	0	10	12	5	0	0	8
TCGA-B6-A0I6-01A-11D-A128-09	2	8	37	8	14	1	24	14
TCGA-B6-A0I8-01A-11W-A050-09	13	14	40	14	21	2	35	13
TCGA-B6-A0I9-01A-11W-A050-09	2	4	10	38	5	5	17	20
TCGA-B6-A0IA-01A-11W-A050-09	2	3	57	0	18	0	9	14
TCGA-B6-A0IB-01A-11W-A050-09	7	7	2	9	30	10	15	8
TCGA-B6-A0IC-01A-11W-A050-09	3	3	1	8	14	1	17	5
TCGA-B6-A0IE-01A-11W-A050-09	2	3	8	7	19	3	13	8
TCGA-B6-A0IH-01A-11D-A10Y-09	3	0	6	11	7	3	4	9
TCGA-B6-A0IJ-01A-11W-A050-09	8	29	70	3	14	6	23	10
TCGA-B6-A0IK-01A-12W-A071-09	114	38	15	17	20	7	24	7
TCGA-B6-A0IM-01A-11W-A050-09	2	0	19	14	3	2	13	2
TCGA-B6-A0IN-01A-11W-A050-09	3	1	23	13	4	0	6	13
TCGA-B6-A0RE-01A-11W-A071-09	24	30	55	16	26	7	35	10
TCGA-B6-A0RG-01A-11W-A071-09	7	15	25	8	7	1	12	7
TCGA-B6-A0RH-01A-21D-A10Y-09	12	3	12	9	1	2	0	1
TCGA-B6-A0RI-01A-11W-A071-09	7	9	3	3	0	7	2	2
TCGA-B6-A0RL-01A-11D-A099-09	12	3	0	23	6	4	6	16
TCGA-B6-A0RM-01A-11D-A099-09	7	0	0	13	7	0	9	2
TCGA-B6-A0RN-01A-12D-A099-09	2	0	1	15	11	1	4	2
TCGA-B6-A0RO-01A-22D-A099-09	0	1	7	2	7	8	5	12
TCGA-B6-A0RP-01A-21D-A099-09	0	0	3	9	3	2	7	6
TCGA-B6-A0RQ-01A-11D-A10Y-09	17	3	6	9	2	2	0	14
TCGA-B6-A0RS-01A-11D-A099-09	12	14	80	11	17	1	28	22
TCGA-B6-A0RT-01A-21D-A099-09	1	12	23	5	0	3	15	3
TCGA-B6-A0RU-01A-11D-A099-09	5	1	14	11	11	8	11	1
TCGA-B6-A0RV-01A-11D-A099-09	28	23	0	9	0	2	0	0
TCGA-B6-A0WS-01A-11D-A10Y-09	2	2	3	1	6	1	1	4
TCGA-B6-A0WT-01A-11D-A10G-09	1	0	7	11	4	3	0	0
TCGA-B6-A0WV-01A-11D-A10G-09	0	5	11	6	5	0	0	10
TCGA-B6-A0WW-01A-11D-A10G-09	8	7	10	9	4	3	1	1
TCGA-B6-A0WX-01A-11D-A10G-09	0	2	4	12	8	3	13	1
TCGA-B6-A0WY-01A-11D-A10G-09	5	1	3	4	13	4	4	2
TCGA-B6-A0WZ-01A-11D-A10G-09	52	18	11	3	2	1	2	3
TCGA-B6-A0X0-01A-21D-A10Y-09	0	0	10	5	0	5	6	0
TCGA-B6-A0X1-01A-11D-A10G-09	4	17	29	7	7	7	2	18
TCGA-B6-A0X4-01A-11D-A10G-09	0	0	4	6	0	10	4	4
TCGA-B6-A0X5-01A-21D-A10G-09	5	2	6	1	12	18	2	3
TCGA-B6-A1KC-01B-11D-A159-09	0	4	0	14	3	4	6	2
TCGA-B6-A1KF-01A-11D-A13L-09	7	2	22	14	6	4	4	7
TCGA-B6-A1KI-01A-11D-A14K-09	0	2	8	11	0	0	0	3
TCGA-B6-A1KN-01A-11D-A13L-09	0	4	17	12	10	7	11	12
TCGA-B6-A2IU-01A-32D-A19T-09	16	0	0	10	14	4	0	4
TCGA-B6-A401-01A-11D-A23C-09	0	2	0	7	7	2	5	7
TCGA-B6-A409-01A-11D-A243-09	7	4	14	17	4	1	9	7
TCGA-B6-A40B-01A-11D-A23C-09	12	5	10	12	4	0	14	11
TCGA-B6-A40C-01A-11D-A23C-09	4	1	14	22	2	0	2	7
TCGA-BH-A0AU-01A-11D-A12Q-09	1	1	0	6	3	0	8	4
TCGA-BH-A0AV-01A-31D-A10Y-09	2	11	23	1	12	2	7	21
TCGA-BH-A0AW-01A-11W-A071-09	63	46	21	17	17	10	3	22
TCGA-BH-A0AY-01A-21W-A019-09	13	2	24	11	13	11	9	18
TCGA-BH-A0AZ-01A-21D-A12Q-09	7	6	21	2	8	1	18	5
TCGA-BH-A0B0-01A-21D-A10Y-09	56	16	0	4	3	9	0	0
TCGA-BH-A0B1-01A-12W-A071-09	2	1	41	16	19	0	16	15
TCGA-BH-A0B3-01A-11W-A071-09	4	7	20	11	3	0	8	4
TCGA-BH-A0B4-01A-11W-A019-09	6	7	31	5	6	4	22	17
TCGA-BH-A0B5-01A-11D-A12Q-09	31	27	0	3	9	1	0	3
TCGA-BH-A0B6-01A-11D-A19Y-09	675	556	9	11	0	22	0	51
TCGA-BH-A0B7-01A-12D-A10Y-09	2	6	3	13	0	7	5	8
TCGA-BH-A0B8-01A-21W-A071-09	11	0	15	13	1	0	14	47
TCGA-BH-A0B9-01A-11W-A071-09	2	9	3	6	6	4	9	9
TCGA-BH-A0BA-01A-11W-A071-09	8	8	13	10	9	1	3	13
TCGA-BH-A0BC-01A-22D-A099-09	8	3	4	13	0	4	1	8
TCGA-BH-A0BD-01A-11W-A050-09	5	0	9	5	5	0	5	3
TCGA-BH-A0BF-01A-21D-A12Q-09	2	8	0	7	4	2	5	8
TCGA-BH-A0BG-01A-11D-A10Y-09	6	4	8	8	7	0	9	2
TCGA-BH-A0BJ-01A-11W-A071-09	3	1	12	4	5	2	11	9
TCGA-BH-A0BL-01A-11D-A10Y-09	4	3	13	15	3	6	25	1
TCGA-BH-A0BM-01A-11W-A071-09	7	4	18	0	15	0	10	15
TCGA-BH-A0BO-01A-23D-A12B-09	0	4	4	6	12	0	0	4
TCGA-BH-A0BP-01A-11D-A10Y-09	27	40	0	32	6	13	35	30
TCGA-BH-A0BQ-01A-21D-A10Y-09	3	0	0	9	2	3	4	7
TCGA-BH-A0BR-01A-21W-A12T-09	26	3	9	15	7	9	0	0
TCGA-BH-A0BS-01A-11D-A12Q-09	1	0	10	4	0	0	0	6
TCGA-BH-A0BT-01A-11D-A12Q-09	5	1	10	15	8	3	0	2
TCGA-BH-A0BV-01A-11W-A019-09	6	0	11	6	2	0	6	8
TCGA-BH-A0BW-01A-11D-A10Y-09	9	6	21	8	24	1	23	8
TCGA-BH-A0BZ-01A-31D-A12Q-09	8	37	93	10	34	11	47	40
TCGA-BH-A0C0-01A-21W-A071-09	7	5	37	2	22	5	33	3
TCGA-BH-A0C1-01B-11D-A12B-09	8	1	0	12	13	0	2	11
TCGA-BH-A0C3-01A-21D-A12Q-09	0	0	2	5	4	1	1	4
TCGA-BH-A0C7-01B-11D-A10Y-09	1	4	4	21	8	2	14	10
TCGA-BH-A0DD-01A-31D-A12Q-09	4	1	0	14	6	1	0	3
TCGA-BH-A0DE-01A-11D-A10Y-09	2	0	3	9	0	1	8	14
TCGA-BH-A0DG-01A-21D-A12Q-09	5	6	0	1	6	8	7	4
TCGA-BH-A0DH-01A-11D-A099-09	14	2	1	16	9	2	3	5
TCGA-BH-A0DI-01A-21D-A12Q-09	10	10	11	8	5	0	5	0
TCGA-BH-A0DK-01A-21W-A071-09	6	9	40	15	8	3	26	5
TCGA-BH-A0DL-01A-11D-A10Y-09	14	4	11	19	16	2	1	0
TCGA-BH-A0DO-01B-11D-A12B-09	4	4	0	3	7	5	0	7
TCGA-BH-A0DP-01A-21W-A071-09	9	3	16	4	1	3	6	16
TCGA-BH-A0DQ-01A-11D-A099-09	1	2	0	10	5	0	9	9
TCGA-BH-A0DS-01A-11W-A071-09	4	2	29	20	3	4	2	9
TCGA-BH-A0DT-01A-21D-A12B-09	3	0	2	6	1	0	0	3
TCGA-BH-A0DV-01A-21D-A12Q-09	3	0	2	0	1	0	5	3
TCGA-BH-A0DX-01A-11D-A10Y-09	34	10	4	17	0	0	8	1
TCGA-BH-A0DZ-01A-11W-A019-09	170	194	0	1	0	18	0	20
TCGA-BH-A0E0-01A-11W-A071-09	0	1	14	22	2	4	4	0
TCGA-BH-A0E1-01A-11W-A071-09	7	11	8	9	3	3	0	4
TCGA-BH-A0E2-01A-11W-A071-09	2	1	18	10	3	5	4	27
TCGA-BH-A0E7-01A-11W-A050-09	3	0	0	14	18	1	10	3
TCGA-BH-A0E9-01B-11D-A10Y-09	2	2	1	11	4	0	7	4
TCGA-BH-A0EA-01A-11D-A10Y-09	2	1	0	7	7	2	3	5
TCGA-BH-A0EB-01A-11W-A050-09	5	5	3	19	4	0	14	15
TCGA-BH-A0EE-01A-11W-A050-09	50	13	32	25	11	22	11	15
TCGA-BH-A0EI-01A-11D-A10Y-09	1	0	5	10	0	0	0	8
TCGA-BH-A0GY-01A-11W-A071-09	3	0	40	12	9	1	4	5
TCGA-BH-A0GZ-01A-11W-A071-09	7	0	2	14	0	0	10	12
TCGA-BH-A0H0-01A-11W-A071-09	2	1	6	3	3	1	9	9
TCGA-BH-A0H3-01A-11D-A12Q-09	1	0	7	5	0	0	0	3
TCGA-BH-A0H5-01A-21D-A10Y-09	64	63	1	3	0	18	0	10
TCGA-BH-A0H6-01A-21W-A071-09	1	0	9	13	1	0	4	3
TCGA-BH-A0H7-01A-13W-A071-09	12	8	17	20	17	4	5	10
TCGA-BH-A0H9-01A-11W-A071-09	10	3	14	5	11	4	10	2
TCGA-BH-A0HA-01A-11D-A12Q-09	22	14	1	101	197	6	0	14
TCGA-BH-A0HB-01A-11W-A071-09	3	4	6	15	0	8	2	14
TCGA-BH-A0HF-01A-11W-A071-09	192	0	0	48	67	23	0	1293
TCGA-BH-A0HI-01A-11D-A099-09	7	1	5	10	1	4	0	5
TCGA-BH-A0HK-01A-11W-A071-09	62	29	15	25	6	1	0	30
TCGA-BH-A0HL-01A-11W-A050-09	4	1	14	15	3	2	5	6
TCGA-BH-A0HN-01A-11D-A099-09	3	0	6	13	0	4	1	3
TCGA-BH-A0HO-01A-11W-A050-09	0	0	6	3	5	4	3	7
TCGA-BH-A0HP-01A-12D-A099-09	162	142	0	7	0	17	0	10
TCGA-BH-A0HQ-01A-11W-A050-09	14	0	7	12	6	2	4	13
TCGA-BH-A0HU-01A-11W-A050-09	3	3	10	5	5	2	13	9
TCGA-BH-A0HW-01A-11W-A050-09	0	2	0	16	16	1	0	8
TCGA-BH-A0HX-01A-21W-A071-09	11	6	27	5	13	1	22	13
TCGA-BH-A0HY-01A-11W-A071-09	2	4	19	12	18	11	7	10
TCGA-BH-A0RX-01A-21D-A099-09	4	1	0	26	4	8	2	3
TCGA-BH-A0W3-01A-11D-A10G-09	1	2	5	5	0	0	1	8
TCGA-BH-A0W4-01A-11D-A10G-09	5	4	8	8	4	6	2	0
TCGA-BH-A0W5-01A-11D-A10G-09	0	1	4	8	8	5	1	1
TCGA-BH-A0W7-01A-11D-A10Y-09	122	124	0	0	8	2	0	4
TCGA-BH-A0WA-01A-11D-A10G-09	14	2	58	7	10	0	6	20
TCGA-BH-A18F-01A-11D-A12B-09	19	1	0	17	0	8	4	12
TCGA-BH-A18G-01A-11D-A12B-09	0	5	0	292	1047	51	0	146
TCGA-BH-A18H-01A-11D-A12B-09	7	4	14	7	9	1	4	11
TCGA-BH-A18I-01A-11D-A12B-09	3	2	0	11	4	5	1	0
TCGA-BH-A18J-01A-11D-A12B-09	60	23	0	2	19	0	5	0
TCGA-BH-A18K-01A-11D-A12B-09	16	13	17	8	1	0	0	9
TCGA-BH-A18L-01A-32D-A12B-09	0	2	11	23	8	5	7	8
TCGA-BH-A18M-01A-11D-A12B-09	0	3	2	6	0	1	4	0
TCGA-BH-A18N-01A-11D-A12B-09	0	1	12	13	13	1	0	0
TCGA-BH-A18P-01A-11D-A12B-09	195	157	0	16	2	13	0	14
TCGA-BH-A18Q-01A-12D-A12B-09	2	6	40	3	6	1	24	18
TCGA-BH-A18R-01A-11D-A12B-09	3	1	25	3	0	1	0	2
TCGA-BH-A18S-01A-11D-A12B-09	0	4	8	1	11	4	3	4
TCGA-BH-A18T-01A-11D-A12B-09	4	14	26	7	12	2	24	8
TCGA-BH-A18U-01A-21D-A12B-09	58	28	18	26	8	0	0	19
TCGA-BH-A18V-01A-11D-A12B-09	28	72	110	2	4	3	12	9
TCGA-BH-A1EN-01A-11D-A17G-09	6	1	20	23	9	3	5	11
TCGA-BH-A1EO-01A-11D-A135-09	3	0	0	25	0	3	6	5
TCGA-BH-A1ES-01A-11D-A135-09	2	2	0	1	1	3	8	0
TCGA-BH-A1ET-01A-11D-A135-09	1	0	5	8	7	3	5	6
TCGA-BH-A1EU-01A-11D-A135-09	1	0	14	3	4	0	0	0
TCGA-BH-A1EV-01A-11D-A135-09	32	26	17	17	2	19	0	1
TCGA-BH-A1EW-01A-11D-A135-09	4	0	3	1	0	1	0	5
TCGA-BH-A1EX-01A-11D-A13L-09	0	0	6	8	5	5	1	0
TCGA-BH-A1EY-01A-11D-A13L-09	6	9	5	11	6	7	3	6
TCGA-BH-A1F0-01A-11D-A135-09	1	12	25	10	4	5	12	19
TCGA-BH-A1F2-01A-31D-A13L-09	10	6	7	24	5	3	4	5
TCGA-BH-A1F5-01A-12D-A13L-09	5	0	13	11	0	4	2	11
TCGA-BH-A1F6-01A-11D-A13L-09	2	3	25	12	5	0	0	3
TCGA-BH-A1F8-01A-11D-A13L-09	92	48	7	16	0	8	3	15
TCGA-BH-A1FC-01A-11D-A13L-09	15	19	12	25	19	7	15	3
TCGA-BH-A1FD-01A-11W-A14Q-09	1	0	18	11	8	0	4	3
TCGA-BH-A1FE-01A-11D-A13L-09	7	0	3	1	2	3	4	5
TCGA-BH-A1FG-01A-11D-A13L-09	0	1	13	7	5	0	0	1
TCGA-BH-A1FH-01A-12D-A13L-09	1	0	9	11	0	0	1	6
TCGA-BH-A1FJ-01A-11D-A13L-09	3	0	1	16	0	0	8	12
TCGA-BH-A1FL-01A-11D-A13L-09	2	0	5	5	0	1	3	9
TCGA-BH-A1FM-01A-11D-A13L-09	11	9	0	19	1	7	9	7
TCGA-BH-A1FN-01A-11D-A13L-09	37	50	7	6	7	0	25	13
TCGA-BH-A1FR-01A-11D-A13L-09	1	2	2	5	1	1	5	0
TCGA-BH-A1FU-01A-11D-A14G-09	5	15	40	6	22	11	10	12
TCGA-BH-A201-01A-11D-A14K-09	2	0	5	1	11	5	0	0
TCGA-BH-A202-01A-11D-A14K-09	4	0	10	6	3	3	4	0
TCGA-BH-A203-01A-12D-A167-09	10	10	0	29	19	12	6	6
TCGA-BH-A204-01A-11D-A159-09	2	3	7	10	4	7	14	7
TCGA-BH-A208-01A-11D-A159-09	21	29	11	12	0	1	5	11
TCGA-BH-A209-01A-11D-A17G-09	41	47	14	4	0	5	5	12
TCGA-BH-A28Q-01A-11D-A16D-09	2	1	0	13	2	0	6	5
TCGA-BH-A2L8-01A-11D-A18P-09	313	256	0	1	0	0	0	9
TCGA-BH-A42U-01A-12D-A243-09	8	3	0	2	0	2	12	2
TCGA-BH-A42V-01A-11D-A243-09	23	13	0	6	0	6	9	1
TCGA-BH-A5IZ-01A-11D-A27P-09	6	6	40	14	3	0	19	11
TCGA-BH-A5J0-01A-11D-A27P-09	42	9	12	14	3	9	5	6
TCGA-BH-A6R8-01A-21D-A33E-09	4	2	12	13	3	4	0	2
TCGA-BH-A6R9-01A-21D-A32I-09	0	0	14	3	0	4	0	3
TCGA-BH-A8FY-01A-11D-A36J-09	3	1	20	5	4	0	8	15
TCGA-BH-A8FZ-01A-11D-A351-09	5	4	39	10	13	5	16	0
TCGA-BH-A8G0-01A-11D-A351-09	0	0	0	5	7	3	9	0
TCGA-BH-AB28-01A-31D-A41F-09	6	0	2	10	15	1	6	1
TCGA-C8-A12K-01A-21D-A10Y-09	12	57	40	9	9	0	16	27
TCGA-C8-A12L-01A-11D-A10Y-09	1	3	11	10	11	3	25	17
TCGA-C8-A12M-01A-11D-A135-09	0	0	7	22	18	11	11	11
TCGA-C8-A12N-01A-11D-A10Y-09	1	5	0	9	5	2	1	4
TCGA-C8-A12O-01A-11D-A10Y-09	3	0	8	22	0	6	0	2
TCGA-C8-A12P-01A-11D-A10Y-09	69	61	3	22	12	12	20	11
TCGA-C8-A12Q-01A-11D-A10Y-09	50	29	3	6	10	14	13	3
TCGA-C8-A12T-01A-11D-A10Y-09	83	87	0	9	6	7	0	10
TCGA-C8-A12U-01A-11D-A10Y-09	4	6	10	22	0	0	7	10
TCGA-C8-A12V-01A-11D-A10Y-09	1	3	18	3	12	2	7	6
TCGA-C8-A12W-01A-11D-A10Y-09	2	1	1	37	3	11	12	5
TCGA-C8-A12X-01A-11D-A10Y-09	0	2	12	26	2	5	9	9
TCGA-C8-A12Y-01A-11D-A12B-09	6	0	0	15	21	2	5	0
TCGA-C8-A12Z-01A-11D-A10Y-09	12	13	5	14	4	2	0	8
TCGA-C8-A130-01A-31D-A10Y-09	5	4	0	26	6	7	3	0
TCGA-C8-A131-01A-11D-A10Y-09	10	0	0	9	9	10	22	7
TCGA-C8-A132-01A-31D-A10Y-09	14	26	16	9	2	0	3	11
TCGA-C8-A133-01A-32D-A12B-09	3	0	9	0	3	2	8	8
TCGA-C8-A134-01A-11D-A10Y-09	0	9	38	7	11	9	21	16
TCGA-C8-A135-01A-11D-A10Y-09	4	9	0	31	16	6	10	4
TCGA-C8-A137-01A-11D-A10Y-09	14	12	5	13	0	9	5	4
TCGA-C8-A138-01A-11D-A10Y-09	0	1	9	16	0	5	11	9
TCGA-C8-A1HE-01A-11D-A188-09	26	7	8	7	0	2	4	12
TCGA-C8-A1HF-01A-11D-A135-09	9	5	11	6	4	2	0	4
TCGA-C8-A1HG-01A-11D-A135-09	6	2	19	21	5	1	0	6
TCGA-C8-A1HI-01A-11D-A135-09	8	3	6	23	9	0	9	5
TCGA-C8-A1HJ-01A-11D-A13L-09	3	11	58	3	24	2	30	1
TCGA-C8-A1HK-01A-21D-A13L-09	7	28	0	5	11	9	3	6
TCGA-C8-A1HL-01A-11D-A135-09	0	0	0	8	8	1	7	8
TCGA-C8-A1HM-01A-12D-A135-09	143	254	0	19	0	9	7	26
TCGA-C8-A1HN-01A-11D-A135-09	1	2	3	25	5	1	14	11
TCGA-C8-A1HO-01A-11D-A13L-09	6	1	8	8	5	2	7	5
TCGA-C8-A26V-01A-11D-A16D-09	24	37	6	13	9	6	2	0
TCGA-C8-A26W-01A-11D-A16D-09	20	9	11	3	8	8	0	7
TCGA-C8-A26X-01A-31D-A16D-09	3	0	14	21	3	5	16	16
TCGA-C8-A26Y-01A-11D-A16D-09	380	372	0	0	23	24	59	7
TCGA-C8-A26Z-01A-11D-A16D-09	2	0	6	25	1	3	11	5
TCGA-C8-A273-01A-11D-A16D-09	0	2	0	8	0	3	3	4
TCGA-C8-A274-01A-11D-A16D-09	130	85	0	10	20	4	10	0
TCGA-C8-A275-01A-21D-A16D-09	38	53	23	10	1	3	0	12
TCGA-C8-A278-01A-11D-A167-09	8	7	7	12	5	5	3	3
TCGA-C8-A27A-01A-11D-A167-09	6	3	4	11	2	6	2	3
TCGA-C8-A27B-01A-11D-A167-09	14	88	25	3	9	5	15	12
TCGA-C8-A3M7-01A-12D-A21Q-09	120	30	24	20	5	12	7	5
TCGA-C8-A3M8-01A-11D-A20S-09	5	5	15	15	12	1	3	3
TCGA-C8-A8HP-01A-11D-A36J-09	110	112	0	11	6	20	0	7
TCGA-C8-A8HQ-01A-11D-A36J-09	178	136	0	17	5	23	0	0
TCGA-C8-A8HR-01A-11D-A36J-09	2	5	31	11	7	0	0	2
TCGA-C8-A9FZ-01A-11D-A41F-09	2	0	0	12	14	0	3	0
TCGA-D8-A13Y-01A-11D-A10Y-09	13	9	27	10	1	1	4	14
TCGA-D8-A13Z-01A-11D-A10Y-09	0	16	38	25	1	4	14	10
TCGA-D8-A140-01A-11D-A10Y-09	24	0	9	29	15	4	25	27
TCGA-D8-A141-01A-11D-A10Y-09	0	0	6	8	0	0	3	3
TCGA-D8-A142-01A-11D-A10Y-09	1	15	48	46	0	2	24	23
TCGA-D8-A143-01A-11D-A10Y-09	3	1	9	14	2	0	20	7
TCGA-D8-A145-01A-11D-A10Y-09	0	4	8	15	12	0	2	7
TCGA-D8-A146-01A-31D-A10Y-09	6	0	5	7	12	6	1	5
TCGA-D8-A147-01A-11D-A10Y-09	20	44	68	5	12	3	33	14
TCGA-D8-A1J8-01A-11D-A13L-09	284	259	0	65	197	58	0	74
TCGA-D8-A1J9-01A-11D-A13L-09	115	106	0	1	1	25	8	0
TCGA-D8-A1JA-01A-11D-A13L-09	384	720	23	7	0	18	0	4
TCGA-D8-A1JB-01A-11D-A13L-09	4	4	5	5	5	2	18	10
TCGA-D8-A1JC-01A-11D-A13L-09	32	28	23	13	0	8	0	12
TCGA-D8-A1JD-01A-11D-A13L-09	9	15	14	4	15	9	34	17
TCGA-D8-A1JE-01A-11D-A13L-09	2	1	4	10	7	0	7	5
TCGA-D8-A1JF-01A-11D-A13L-09	3	4	0	9	22	3	1	7
TCGA-D8-A1JG-01B-11D-A13L-09	1	12	31	23	11	59	11	18
TCGA-D8-A1JH-01A-11D-A188-09	2	1	10	5	7	0	5	1
TCGA-D8-A1JI-01A-11D-A13L-09	0	0	1	8	4	2	6	17
TCGA-D8-A1JJ-01A-31D-A14K-09	35	13	3	14	12	6	1	5
TCGA-D8-A1JK-01A-11D-A13L-09	15	11	79	3	39	10	40	39
TCGA-D8-A1JL-01A-11D-A13L-09	2	12	46	3	20	10	26	16
TCGA-D8-A1JM-01A-11D-A13L-09	2	2	1	17	0	3	28	4
TCGA-D8-A1JN-01A-11D-A13L-09	98	43	7	11	0	28	5	13
TCGA-D8-A1JP-01A-11D-A13L-09	3	10	60	0	8	1	26	21
TCGA-D8-A1JS-01A-11D-A13L-09	2	0	10	9	2	1	1	1
TCGA-D8-A1JT-01A-31D-A13L-09	0	1	14	13	0	0	3	11
TCGA-D8-A1JU-01A-11D-A13L-09	1	0	4	4	5	1	1	3
TCGA-D8-A1X5-01A-11D-A14G-09	6	1	5	15	15	7	13	0
TCGA-D8-A1X6-01A-11D-A14K-09	3	0	8	13	9	2	0	6
TCGA-D8-A1X7-01A-11D-A14K-09	2	2	7	7	1	2	5	5
TCGA-D8-A1X8-01A-11D-A14K-09	1	2	12	10	0	1	18	10
TCGA-D8-A1X9-01A-12D-A159-09	1	10	13	6	20	2	50	6
TCGA-D8-A1XA-01A-11D-A14G-09	1	1	8	7	4	0	1	4
TCGA-D8-A1XB-01A-11D-A14G-09	6	1	0	13	10	3	4	6
TCGA-D8-A1XC-01A-11D-A14G-09	1	2	3	9	9	2	0	9
TCGA-D8-A1XF-01A-11D-A14G-09	3	3	0	16	5	10	15	6
TCGA-D8-A1XG-01A-11D-A14G-09	0	0	3	2	13	3	8	3
TCGA-D8-A1XJ-01A-11D-A14K-09	32	0	9	26	1	11	9	16
TCGA-D8-A1XK-01A-21D-A14K-09	0	0	341	0	921	7	0	0
TCGA-D8-A1XL-01A-11D-A14K-09	5	6	36	8	20	6	27	2
TCGA-D8-A1XM-01A-21D-A14K-09	19	4	6	17	0	12	1	7
TCGA-D8-A1XO-01A-11D-A14K-09	5	1	9	7	0	0	3	3
TCGA-D8-A1XQ-01A-11D-A14K-09	20	32	131	150	507	29	66	63
