Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-A8-A06U-01A-11W-A019-09	6	9	16	29	19	0	14
TCGA-A8-A06X-01A-21W-A019-09	4	28	157	49	25	10	42
TCGA-A8-A06Y-01A-21W-A019-09	5	5	20	0	10	3	0
TCGA-A8-A06Z-01A-11W-A019-09	1	3	57	6	11	1	20
TCGA-A8-A075-01A-11D-A099-09	18	9	29	0	13	1	20
TCGA-A8-A076-01A-21W-A019-09	12	4	26	0	38	10	8
TCGA-A8-A079-01A-21W-A019-09	2	10	34	0	32	6	26
TCGA-A8-A07B-01A-11W-A019-09	17	20	13	14	8	1	13
TCGA-A8-A07F-01A-11W-A019-09	2	2	11	0	19	0	6
TCGA-A8-A07G-01A-11W-A050-09	9	0	32	22	10	2	21
TCGA-A8-A07I-01A-11W-A019-09	0	7	26	4	22	4	3
TCGA-A8-A07J-01A-11W-A019-09	11	9	39	9	0	8	18
TCGA-A8-A07L-01A-11W-A019-09	2	11	52	26	3	4	27
TCGA-A8-A07O-01A-11W-A019-09	21	0	14	0	24	5	3
TCGA-A8-A07P-01A-11W-A019-09	8	0	18	18	26	4	8
TCGA-A8-A07U-01A-11W-A050-09	7	29	36	0	22	5	23
TCGA-A8-A07W-01A-11W-A019-09	8	21	24	56	36	4	21
TCGA-A8-A07Z-01A-11W-A019-09	0	1	4	11	7	0	5
TCGA-A8-A081-01A-11W-A019-09	17	35	17	18	38	9	12
TCGA-A8-A082-01A-11W-A019-09	2	4	0	6	14	0	3
TCGA-A8-A083-01A-21W-A019-09	5	0	14	11	0	3	2
TCGA-A8-A085-01A-11W-A019-09	2	32	32	4	0	3	27
TCGA-A8-A08B-01A-11W-A019-09	22	0	9	0	11	8	20
TCGA-A8-A08C-01A-11W-A019-09	2	0	4	0	0	0	3
TCGA-A8-A08F-01A-11W-A019-09	2	13	59	49	0	1	24
TCGA-A8-A08G-01A-11W-A019-09	3	4	11	16	15	6	3
TCGA-A8-A08H-01A-21W-A019-09	119	0	64	15	0	0	45
TCGA-A8-A08J-01A-11W-A019-09	6	3	14	3	11	5	3
TCGA-A8-A08L-01A-11W-A019-09	50	111	70	12	7	3	32
TCGA-A8-A08O-01A-21W-A071-09	1	4	7	4	6	6	7
TCGA-A8-A08P-01A-11W-A019-09	10	17	13	21	18	6	7
TCGA-A8-A08R-01A-11W-A050-09	9	89	98	36	17	8	48
TCGA-A8-A08S-01A-11W-A050-09	6	0	11	16	28	4	6
TCGA-A8-A08T-01A-21W-A019-09	3	5	22	5	12	12	15
TCGA-A8-A08X-01A-21W-A019-09	0	4	7	22	11	0	9
TCGA-A8-A08Z-01A-21W-A019-09	7	0	5	11	20	0	4
TCGA-A8-A090-01A-11W-A019-09	6	3	15	0	14	4	7
TCGA-A8-A091-01A-11W-A019-09	8	0	7	5	13	0	0
TCGA-A8-A092-01A-11W-A019-09	46	13	7	11	9	10	4
TCGA-A8-A093-01A-11W-A019-09	86	6	8	0	24	23	2
TCGA-A8-A094-01A-11W-A019-09	98	88	0	27	7	7	4
TCGA-A8-A095-01A-11W-A019-09	106	72	16	5	6	13	0
TCGA-A8-A096-01A-11W-A019-09	0	0	10	19	17	0	0
TCGA-A8-A097-01A-11W-A050-09	2	33	55	9	7	5	26
TCGA-A8-A099-01A-11W-A019-09	1	4	18	2	11	0	8
TCGA-A8-A09A-01A-11W-A019-09	25	18	126	35	9	3	60
TCGA-A8-A09B-01A-11W-A019-09	5	3	15	0	15	2	16
TCGA-A8-A09C-01A-11W-A019-09	0	0	21	9	9	1	20
TCGA-A8-A09D-01A-11W-A019-09	11	0	13	24	2	1	21
TCGA-A8-A09E-01A-11W-A019-09	1	2	38	6	13	0	40
TCGA-A8-A09G-01A-21W-A019-09	140	185	0	5	1	5	0
TCGA-A8-A09I-01A-22W-A050-09	43	50	0	10	46	7	18
TCGA-A8-A09K-01A-11W-A019-09	8	0	10	7	12	2	16
TCGA-A8-A09M-01A-11W-A019-09	1	16	84	17	16	13	35
TCGA-A8-A09N-01A-11W-A019-09	34	41	25	31	20	6	2
TCGA-A8-A09Q-01A-11W-A019-09	6	16	54	18	66	17	21
TCGA-A8-A09T-01A-11W-A019-09	4	0	12	8	5	0	2
TCGA-A8-A09V-01A-11D-A045-09	0	7	7	0	14	0	6
TCGA-A8-A09W-01A-11W-A019-09	2	11	34	30	16	1	12
TCGA-A8-A09X-01A-11W-A019-09	20	4	21	3	21	6	6
TCGA-A8-A09Z-01A-11W-A019-09	0	0	15	1028	160	28	215
TCGA-A8-A0A1-01A-11W-A019-09	3	0	14	8	30	1	15
TCGA-A8-A0A2-01A-11W-A050-09	1	0	16	9	17	3	9
TCGA-A8-A0A4-01A-11W-A019-09	5	3	39	13	17	0	5
TCGA-A8-A0A6-01A-12W-A071-09	9	0	4	8	9	6	14
TCGA-A8-A0A7-01A-11W-A019-09	200	35	16	21	1	9	11
TCGA-A8-A0A9-01A-11W-A019-09	9	18	0	4	33	5	7
TCGA-A8-A0AB-01A-11W-A050-09	0	5	11	1	18	0	9
TCGA-A8-A0AD-01A-11W-A071-09	4	1	9	5	10	0	9
TCGA-AC-A23C-01A-12D-A167-09	38	24	23	30	3	7	8
TCGA-AC-A23E-01A-11D-A159-09	0	1	3	0	12	3	5
TCGA-AC-A23H-01A-11D-A159-09	2909	3171	0	0	0	16	0
TCGA-AC-A2B8-01A-11D-A17D-09	65	38	0	2	10	0	8
TCGA-AC-A2BK-01A-11D-A21Q-09	0	9	42	27	24	3	7
TCGA-AC-A2BM-01A-11D-A21Q-09	0	4	4	7	0	1	4
TCGA-AC-A2FB-01A-11D-A17D-09	4	0	4	0	3	0	3
TCGA-AC-A2FF-01A-11D-A17D-09	2	2	6	2	1	0	0
TCGA-AC-A2FG-01A-11D-A17D-09	9	1	6	4	12	2	6
TCGA-AC-A2FO-01A-11D-A17W-09	14	4	3	0	0	4	5
TCGA-AC-A2QH-01A-11D-A18P-09	7	1	7	9	14	0	0
TCGA-AC-A3HN-01A-11D-A20S-09	4	1	8	8	7	0	1
TCGA-AC-A3OD-01A-11D-A21Q-09	6	0	0	6	13	5	7
TCGA-AC-A3QP-01A-11D-A22X-09	0	2	16	4	6	6	3
TCGA-AC-A3QQ-01A-11D-A228-09	0	3	0	5	17	1	12
TCGA-AC-A3W5-01A-11D-A228-09	34	66	57	11	16	9	33
TCGA-AC-A3YI-01A-21D-A23C-09	0	0	8	2	2	4	3
TCGA-AC-A3YJ-01A-11D-A22X-09	2	0	1	4	15	1	14
TCGA-AC-A4ZE-01A-11D-A41F-09	9	0	26	21	15	1	3
TCGA-AC-A5EH-01A-11D-A28B-09	18	20	86	29	19	10	32
TCGA-AC-A5EI-01A-11D-A27P-09	14	0	6	2	16	2	3
TCGA-AC-A5XS-01A-11D-A29N-09	349	307	0	0	6	36	38
TCGA-AC-A5XU-01A-11D-A28B-09	15	6	14	9	52	0	12
TCGA-AC-A62V-01A-11D-A31U-09	4	6	9	22	41	8	14
TCGA-AC-A62X-01A-11D-A29N-09	1	6	6	7	52	6	7
TCGA-AC-A62Y-01A-11D-A29N-09	19	18	12	14	17	1	9
TCGA-AC-A6IV-01A-12D-A33E-09	0	0	4	0	9	5	8
TCGA-AC-A6IW-01A-12D-A33E-09	33	88	12	12	32	4	37
TCGA-AC-A6IX-01A-12D-A32I-09	18	9	0	12	13	0	10
TCGA-AC-A6NO-01A-12D-A33E-09	3	1	5	12	12	2	9
TCGA-AC-A7VB-01A-11D-A351-09	0	0	1	13	16	0	6
TCGA-AC-A7VC-01A-11D-A351-09	0	2	3	7	6	4	8
TCGA-AC-A8OP-01A-11D-A36J-09	16	16	68	41	55	23	25
TCGA-AC-A8OQ-01A-11D-A41F-09	26	0	39	18	34	10	12
TCGA-AC-A8OR-01A-21D-A41F-09	0	0	32	7	8	0	3
TCGA-AC-A8OS-01A-12D-A41F-09	17	4	22	6	19	0	6
TCGA-AN-A03X-01A-21W-A019-09	0	0	44	17	11	4	15
TCGA-AN-A03Y-01A-21W-A019-09	10	0	11	7	19	3	5
TCGA-AN-A041-01A-11W-A050-09	9	0	12	14	9	4	8
TCGA-AN-A046-01A-21W-A050-09	51	0	17	216	0	6804	77
TCGA-AN-A049-01A-21W-A019-09	4	0	11	4	14	5	4
TCGA-AN-A04A-01A-21W-A050-09	1	0	7	5	19	1	23
TCGA-AN-A04C-01A-21W-A050-09	8	5	31	15	30	4	18
TCGA-AN-A04D-01A-21W-A050-09	0	16	44	22	6	4	24
TCGA-AN-A0AJ-01A-11W-A019-09	7	26	17	8	27	15	7
TCGA-AN-A0AK-01A-21W-A019-09	0	0	0	939	221	61	242
TCGA-AN-A0AL-01A-11W-A019-09	0	16	41	7	4	4	20
TCGA-AN-A0AM-01A-11W-A050-09	8	12	42	5	25	0	24
TCGA-AN-A0AR-01A-11W-A019-09	2	29	67	13	14	5	23
TCGA-AN-A0AS-01A-11W-A019-09	8	0	16	8	19	3	0
TCGA-AN-A0AT-01A-11D-A045-09	5	21	49	34	1	4	25
TCGA-AN-A0FD-01A-11W-A050-09	1	1	18	5	8	0	6
TCGA-AN-A0FF-01A-11W-A050-09	0	0	0	11	8	0	9
TCGA-AN-A0FJ-01A-11W-A019-09	28	27	30	19	17	0	12
TCGA-AN-A0FK-01A-11W-A050-09	4	0	8	13	19	5	17
TCGA-AN-A0FL-01A-11W-A050-09	9	45	71	19	35	3	29
TCGA-AN-A0FN-01A-11W-A050-09	6	3	35	17	0	4	24
TCGA-AN-A0FS-01A-11W-A050-09	21	13	24	3	18	5	22
TCGA-AN-A0FT-01A-11W-A050-09	24	20	4	19	38	6	24
TCGA-AN-A0FV-01A-11W-A019-09	30	22	20	21	8	0	17
TCGA-AN-A0FW-01A-11W-A050-09	8	14	55	6	17	9	31
TCGA-AN-A0FX-01A-11W-A050-09	10	11	80	32	14	12	24
TCGA-AN-A0FY-01A-11W-A050-09	6	0	6	7	35	2	9
TCGA-AN-A0FZ-01A-11W-A050-09	9	0	15	10	36	6	12
TCGA-AN-A0G0-01A-11W-A050-09	1	2	14	0	22	0	6
TCGA-AN-A0XN-01A-21D-A10G-09	3	20	75	36	12	8	22
TCGA-AN-A0XO-01A-11D-A10G-09	9	0	2	10	5	9	4
TCGA-AN-A0XP-01A-11D-A117-09	6	4	5	12	1	2	5
TCGA-AN-A0XR-01A-11D-A10G-09	5	3	9	1	9	0	8
TCGA-AN-A0XS-01A-22D-A10G-09	8	0	9	4	7	2	2
TCGA-AN-A0XT-01A-11D-A10G-09	0	1	1	1	10	0	8
TCGA-AN-A0XU-01A-11D-A10G-09	5	32	46	8	15	13	18
TCGA-AN-A0XV-01A-11D-A10G-09	0	5	5	14	12	3	2
TCGA-AN-A0XW-01A-11D-A10G-09	178	233	0	0	1	0	0
TCGA-AO-A03L-01A-41W-A071-09	0	8	11	0	10	1	11
TCGA-AO-A03O-01A-11W-A019-09	0	20	18	18	44	0	6
TCGA-AO-A03P-01A-11W-A019-09	8	0	17	9	17	6	13
TCGA-AO-A03R-01A-21W-A050-09	2	2	19	0	12	2	31
TCGA-AO-A03T-01A-21W-A050-09	8	23	55	0	12	2	32
TCGA-AO-A03V-01A-11D-A10Y-09	10	11	18	3	11	5	11
TCGA-AO-A0J2-01A-11W-A050-09	2	14	31	30	4	3	4
TCGA-AO-A0J3-01A-11W-A050-09	18	5	19	6	24	12	18
TCGA-AO-A0J4-01A-11W-A050-09	8	71	30	18	17	0	19
TCGA-AO-A0J5-01A-11W-A050-09	6	0	32	16	17	4	18
TCGA-AO-A0J6-01A-11W-A050-09	7	27	58	7	11	4	17
TCGA-AO-A0J7-01A-11W-A050-09	9	0	4	0	6	1	8
TCGA-AO-A0J8-01A-21D-A045-09	1	2	3	0	8	4	12
TCGA-AO-A0J9-01A-11W-A050-09	95	32	20	18	10	7	16
TCGA-AO-A0JA-01A-11W-A071-09	19	0	13	0	7	0	2
TCGA-AO-A0JB-01A-11W-A071-09	11	5	72	21	4	3	40
TCGA-AO-A0JC-01A-11W-A071-09	103	68	0	4	1	9	2
TCGA-AO-A0JD-01A-11W-A071-09	1	12	69	3	31	8	29
TCGA-AO-A0JE-01A-11W-A071-09	18	20	4	4	6	8	0
TCGA-AO-A0JF-01A-11W-A071-09	3	0	6	5	4	2	19
TCGA-AO-A0JG-01A-31D-A099-09	0	0	7	6	0	3	2
TCGA-AO-A0JI-01A-21W-A100-09	0	0	13	5	6	3	5
TCGA-AO-A0JJ-01A-11W-A071-09	1	0	16	1	5	4	11
TCGA-AO-A0JM-01A-21W-A071-09	5	8	7	5	24	9	4
TCGA-AO-A124-01A-11D-A10M-09	3	10	81	21	14	13	29
TCGA-AO-A128-01A-11D-A10M-09	24	17	1	871	344	19	0
TCGA-AO-A12A-01A-21D-A10Y-09	2	0	2	1	10	0	2
TCGA-AO-A12D-01A-11D-A10Y-09	33	6	6	0	14	3	9
TCGA-AO-A12F-01A-11D-A10Y-09	0	0	6	10	15	5	4
TCGA-AO-A12H-01A-11D-A10Y-09	1	0	4	3	14	2	8
TCGA-AO-A1KO-01A-31D-A188-09	0	0	0	2	0	1	5
TCGA-AO-A1KP-01A-11D-A13L-09	0	0	4	3	12	0	4
TCGA-AO-A1KR-01A-12D-A142-09	7	15	29	9	9	4	14
TCGA-AO-A1KS-01A-11D-A13L-09	28	0	0	7	21	5	0
TCGA-AO-A1KT-01A-11D-A13L-09	5	1	16	10	18	2	0
TCGA-AQ-A04H-01B-11D-A10M-09	2	4	7	11	48	7	6
TCGA-AQ-A04J-01A-02W-A050-09	10	0	47	23	1	0	30
TCGA-AQ-A0Y5-01A-11D-A14K-09	19	11	4	7	23	4	0
