Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-A8-A09D-01A-11W-A019-09	5	23	19	0
TCGA-A8-A09E-01A-11W-A019-09	2	16	49	0
TCGA-A8-A09G-01A-21W-A019-09	225	0	0	12
TCGA-A8-A09I-01A-22W-A050-09	51	57	9	9
TCGA-A8-A09K-01A-11W-A019-09	5	19	13	2
TCGA-A8-A09M-01A-11W-A019-09	4	28	102	6
TCGA-A8-A09N-01A-11W-A019-09	48	30	27	9
TCGA-A8-A09Q-01A-11W-A019-09	6	69	58	14
TCGA-A8-A09T-01A-11W-A019-09	2	10	8	0
TCGA-A8-A09V-01A-11D-A045-09	4	9	12	0
TCGA-A8-A09W-01A-11W-A019-09	2	39	33	2
TCGA-A8-A09X-01A-11W-A019-09	12	26	18	4
TCGA-A8-A09Z-01A-11W-A019-09	0	922	86	25
TCGA-A8-A0A1-01A-11W-A019-09	2	36	17	2
TCGA-A8-A0A2-01A-11W-A050-09	1	23	11	1
TCGA-A8-A0A4-01A-11W-A019-09	3	24	26	2
TCGA-A8-A0A6-01A-12W-A071-09	7	13	6	6
TCGA-A8-A0A7-01A-11W-A019-09	162	13	37	16
TCGA-A8-A0A9-01A-11W-A019-09	11	35	5	6
TCGA-A8-A0AB-01A-11W-A050-09	2	16	11	0
TCGA-A8-A0AD-01A-11W-A071-09	1	3	12	0
TCGA-AC-A23C-01A-12D-A167-09	39	20	35	5
TCGA-AC-A23E-01A-11D-A159-09	0	7	5	4
TCGA-AC-A23H-01A-11D-A159-09	4255	0	0	98
TCGA-AC-A2B8-01A-11D-A17D-09	67	10	7	2
TCGA-AC-A2BK-01A-11D-A21Q-09	2	43	32	2
TCGA-AC-A2BM-01A-11D-A21Q-09	1	4	7	2
TCGA-AC-A2FB-01A-11D-A17D-09	3	3	7	0
TCGA-AC-A2FF-01A-11D-A17D-09	2	2	8	0
TCGA-AC-A2FG-01A-11D-A17D-09	7	12	9	4
TCGA-AC-A2FO-01A-11D-A17W-09	15	0	4	4
TCGA-AC-A2QH-01A-11D-A18P-09	5	13	6	2
TCGA-AC-A3HN-01A-11D-A20S-09	0	10	4	0
TCGA-AC-A3OD-01A-11D-A21Q-09	3	15	0	5
TCGA-AC-A3QP-01A-11D-A22X-09	0	4	17	3
TCGA-AC-A3QQ-01A-11D-A228-09	0	19	3	2
TCGA-AC-A3W5-01A-11D-A228-09	44	20	69	7
TCGA-AC-A3YI-01A-21D-A23C-09	0	4	7	3
TCGA-AC-A3YJ-01A-11D-A22X-09	0	16	4	0
TCGA-AC-A4ZE-01A-11D-A41F-09	8	23	17	2
TCGA-AC-A5EH-01A-11D-A28B-09	22	36	86	5
TCGA-AC-A5EI-01A-11D-A27P-09	7	14	2	4
TCGA-AC-A5XS-01A-11D-A29N-09	400	6	28	31
TCGA-AC-A5XU-01A-11D-A28B-09	9	55	0	6
TCGA-AC-A62V-01A-11D-A31U-09	8	49	5	10
TCGA-AC-A62X-01A-11D-A29N-09	2	48	0	7
TCGA-AC-A62Y-01A-11D-A29N-09	19	15	22	1
TCGA-AC-A6IV-01A-12D-A33E-09	0	8	5	4
TCGA-AC-A6IW-01A-12D-A33E-09	61	43	35	0
TCGA-AC-A6IX-01A-12D-A32I-09	16	22	0	2
TCGA-AC-A6NO-01A-12D-A33E-09	3	14	6	3
TCGA-AC-A7VB-01A-11D-A351-09	0	18	1	1
TCGA-AC-A7VC-01A-11D-A351-09	1	12	8	3
TCGA-AC-A8OP-01A-11D-A36J-09	17	66	56	15
TCGA-AC-A8OQ-01A-11D-A41F-09	12	29	33	15
TCGA-AC-A8OR-01A-21D-A41F-09	0	10	20	1
TCGA-AC-A8OS-01A-12D-A41F-09	14	19	15	1
TCGA-AN-A03X-01A-21W-A019-09	0	8	53	3
TCGA-AN-A03Y-01A-21W-A019-09	5	19	11	5
TCGA-AN-A041-01A-11W-A050-09	8	16	14	2
TCGA-AN-A046-01A-21W-A050-09	0	0	4	5516
TCGA-AN-A049-01A-21W-A019-09	2	7	14	4
TCGA-AN-A04A-01A-21W-A050-09	3	24	13	3
TCGA-AN-A04C-01A-21W-A050-09	7	44	23	5
TCGA-AN-A04D-01A-21W-A050-09	7	18	57	0
TCGA-AN-A0AJ-01A-11W-A019-09	16	31	15	16
TCGA-AN-A0AK-01A-21W-A019-09	9	1026	0	66
TCGA-AN-A0AL-01A-11W-A019-09	3	14	47	0
TCGA-AN-A0AM-01A-11W-A050-09	12	32	40	3
TCGA-AN-A0AR-01A-11W-A019-09	10	8	85	4
TCGA-AN-A0AS-01A-11W-A019-09	3	21	12	5
TCGA-AN-A0AT-01A-11D-A045-09	15	26	70	2
TCGA-AN-A0FD-01A-11W-A050-09	2	10	12	0
TCGA-AN-A0FF-01A-11W-A050-09	0	15	5	0
TCGA-AN-A0FJ-01A-11W-A019-09	31	29	34	0
TCGA-AN-A0FK-01A-11W-A050-09	4	23	15	4
TCGA-AN-A0FL-01A-11W-A050-09	27	49	68	4
TCGA-AN-A0FN-01A-11W-A050-09	5	11	55	5
TCGA-AN-A0FS-01A-11W-A050-09	26	30	20	7
TCGA-AN-A0FT-01A-11W-A050-09	24	54	12	6
TCGA-AN-A0FV-01A-11W-A019-09	33	20	26	2
TCGA-AN-A0FW-01A-11W-A050-09	10	20	67	5
TCGA-AN-A0FX-01A-11W-A050-09	8	27	89	11
TCGA-AN-A0FY-01A-11W-A050-09	3	32	6	4
TCGA-AN-A0FZ-01A-11W-A050-09	6	42	12	7
TCGA-AN-A0G0-01A-11W-A050-09	2	22	6	0
