Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-FD-A5C1-01A-11D-A289-08	32	15	54	5
TCGA-FD-A62N-01A-11D-A30E-08	7	8	51	15
TCGA-FD-A62O-01A-11D-A30E-08	53	40	31	23
TCGA-FD-A62P-01A-32D-A30E-08	172	85	43	9
TCGA-FD-A62S-01A-11D-A30E-08	0	4	50	3
TCGA-FD-A6TA-01A-12D-A339-08	121	80	7	5
TCGA-FD-A6TB-01A-12D-A339-08	89	48	13	7
TCGA-FD-A6TC-01A-21D-A339-08	456	292	17	37
TCGA-FD-A6TD-01A-51D-A339-08	30	33	44	5
TCGA-FD-A6TE-01A-12D-A339-08	94	55	29	14
TCGA-FD-A6TF-01A-52D-A32B-08	53	19	38	1
TCGA-FD-A6TG-01A-11D-A32B-08	130	59	111	6
TCGA-FD-A6TH-01A-11D-A32B-08	34	44	45	13
TCGA-FD-A6TI-01A-11D-A32B-08	3	5	81	12
TCGA-FD-A6TK-01A-42D-A339-08	16	29	42	0
TCGA-FJ-A3Z7-01A-12D-A23M-08	124	91	71	0
TCGA-FJ-A3Z9-01A-11D-A26M-08	3	4	39	11
TCGA-FJ-A3ZE-01A-11D-A23M-08	48	8	293	38
TCGA-FJ-A3ZF-01A-11D-A23M-08	67	61	88	2
TCGA-FJ-A871-01A-11D-A34U-08	0	3	38	2
TCGA-FT-A3EE-01A-11D-A202-08	3	25	56	10
TCGA-FT-A61P-01A-11D-A30E-08	22	23	74	6
TCGA-G2-A2EC-01A-11D-A17V-08	59	23	42	8
TCGA-G2-A2EF-01A-12D-A18F-08	84	70	41	4
TCGA-G2-A2EJ-01A-11D-A17V-08	118	52	67	17
TCGA-G2-A2EK-01A-22D-A18F-08	16	7	28	0
TCGA-G2-A2EL-01A-12D-A18F-08	129	40	30	13
TCGA-G2-A2EO-01A-11D-A17V-08	423	305	0	0
TCGA-G2-A2ES-01A-11D-A17V-08	47	115	152	27
TCGA-G2-A3IB-01A-11D-A20D-08	14	16	48	11
TCGA-G2-A3IE-01A-11D-A20D-08	134	104	59	0
TCGA-G2-A3VY-01A-11D-A22Z-08	447	113	85	0
TCGA-G2-AA3B-01A-11D-A391-08	491	129	6	8
TCGA-G2-AA3C-01A-21D-A391-08	94	53	45	0
TCGA-G2-AA3D-01A-11D-A391-08	119	31	19	0
TCGA-G2-AA3F-01A-12D-A42E-08	33	20	63	6
TCGA-GC-A3BM-01A-11D-A22Z-08	9	20	65	9
TCGA-GC-A3I6-01A-11D-A20D-08	74	65	31	0
TCGA-GC-A3OO-01A-11D-A22Z-08	31	59	15	0
TCGA-GC-A3RB-01A-12D-A21Z-08	48	41	49	5
TCGA-GC-A3RC-01A-11D-A22Z-08	79	85	141	15
TCGA-GC-A3RD-01A-12D-A22Z-08	15	17	31	7
TCGA-GC-A3WC-01A-31D-A22Z-08	35	33	65	2
TCGA-GC-A3YS-01A-11D-A23M-08	97	44	61	16
TCGA-GC-A4ZW-01A-11D-A26M-08	384	129	43	14
TCGA-GC-A6I1-01A-12D-A31L-08	100	79	32	0
TCGA-GC-A6I3-01A-11D-A31L-08	88	30	75	19
TCGA-GD-A2C5-01A-12D-A17V-08	93	49	38	27
TCGA-GD-A3OP-01A-21D-A21Z-08	95	129	82	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	29	15	29	8
TCGA-GD-A3OS-01A-12D-A21Z-08	11	11	57	7
TCGA-GD-A6C6-01A-21D-A31L-08	113	60	60	11
TCGA-GD-A76B-01A-11D-A32B-08	60	45	42	8
TCGA-GU-A42P-01A-11D-A23U-08	88	85	47	20
TCGA-GU-A42Q-01A-11D-A23U-08	69	27	48	14
TCGA-GU-A42R-01A-11D-A23M-08	57	42	47	3
