Samples	SBS1	SBS2	SBS5	SBS10b	SBS13
TCGA-B6-A0IM-01A-11W-A050-09	0	0	1	0	0
TCGA-B6-A0IN-01A-11W-A050-09	2	0	0	0	0
TCGA-B6-A0RE-01A-11W-A071-09	0	0	3	0	0
TCGA-B6-A0RG-01A-11W-A071-09	1	0	0	0	0
TCGA-B6-A0RH-01A-21D-A10Y-09	0	0	1	0	0
TCGA-B6-A0RI-01A-11W-A071-09	0	0	1	0	0
TCGA-B6-A0RO-01A-22D-A099-09	0	0	1	0	0
TCGA-B6-A0RQ-01A-11D-A10Y-09	0	0	1	0	0
TCGA-B6-A0RS-01A-11D-A099-09	4	0	0	0	0
TCGA-B6-A0RT-01A-21D-A099-09	0	1	3	0	0
TCGA-B6-A0RU-01A-11D-A099-09	0	0	2	0	0
TCGA-B6-A0WT-01A-11D-A10G-09	1	0	0	0	0
TCGA-B6-A0WW-01A-11D-A10G-09	0	1	0	0	0
TCGA-B6-A0WX-01A-11D-A10G-09	1	0	0	0	0
TCGA-B6-A0WZ-01A-11D-A10G-09	0	2	0	0	0
TCGA-B6-A0X1-01A-11D-A10G-09	0	0	1	0	0
TCGA-B6-A1KF-01A-11D-A13L-09	1	0	1	0	0
TCGA-B6-A1KN-01A-11D-A13L-09	0	0	2	0	0
TCGA-B6-A2IU-01A-32D-A19T-09	0	0	0	2	0
TCGA-B6-A40B-01A-11D-A23C-09	0	0	0	0	2
TCGA-B6-A40C-01A-11D-A23C-09	0	0	0	1	0
TCGA-BH-A0AU-01A-11D-A12Q-09	0	0	1	0	0
TCGA-BH-A0AV-01A-31D-A10Y-09	0	0	1	0	0
TCGA-BH-A0AW-01A-11W-A071-09	0	0	2	0	0
TCGA-BH-A0AY-01A-21W-A019-09	0	3	0	0	0
TCGA-BH-A0AZ-01A-21D-A12Q-09	0	0	3	0	0
TCGA-BH-A0B0-01A-21D-A10Y-09	0	0	2	0	0
TCGA-BH-A0B1-01A-12W-A071-09	0	0	2	0	0
TCGA-BH-A0B3-01A-11W-A071-09	0	2	0	0	0
