Samples	SBS1	SBS2	SBS4	SBS5	SBS10a	SBS10b	SBS13	SBS26	SBS84
TCGA-FD-A3SM-01A-11D-A22Z-08	24	66	0	49	0	0	83	0	0
TCGA-FD-A3SN-01A-12D-A22Z-08	27	220	0	114	0	102	71	0	0
TCGA-FD-A3SO-01A-11D-A22Z-08	19	183	0	35	0	68	159	0	0
TCGA-FD-A3SP-01A-31D-A22Z-08	25	35	0	57	0	0	28	0	0
TCGA-FD-A3SQ-01A-21D-A22Z-08	22	16	0	45	0	0	9	0	0
TCGA-FD-A3SR-01A-11D-A22Z-08	17	24	0	61	0	22	45	0	0
TCGA-FD-A3SS-01A-12D-A22Z-08	16	263	0	37	0	116	183	0	0
TCGA-FD-A43N-01A-11D-A23U-08	51	26	0	82	0	0	64	0	0
TCGA-FD-A43P-01A-31D-A23U-08	25	117	0	133	0	44	183	0	0
TCGA-FD-A43S-01A-21D-A23U-08	0	0	0	0	0	0	0	1	0
TCGA-FD-A43U-01A-11D-A23U-08	24	9	0	60	0	0	0	0	0
TCGA-FD-A43X-01A-11D-A23U-08	31	122	0	110	0	0	137	0	0
TCGA-FD-A43Y-01A-21D-A26M-08	5	0	0	74	0	0	0	0	0
TCGA-FD-A5BR-01A-11D-A26M-08	20	0	27	55	0	0	0	0	0
TCGA-FD-A5BS-01A-21D-A26M-08	2	14	0	8	0	7	4	0	0
TCGA-FD-A5BT-01A-11D-A26M-08	17	29	0	49	0	16	57	0	0
TCGA-FD-A5BU-01A-31D-A26M-08	22	0	0	57	0	0	0	0	0
TCGA-FD-A5BV-01A-11D-A26M-08	17	0	47	84	0	0	0	0	0
TCGA-FD-A5BX-01A-11D-A26M-08	20	166	0	61	0	0	178	0	0
TCGA-FD-A5BY-01A-31D-A289-08	12	13	0	26	0	0	10	0	0
TCGA-FD-A5BZ-01A-11D-A289-08	19	27	0	55	0	28	35	0	0
TCGA-FD-A5C0-01A-11D-A289-08	23	17	0	111	0	0	7	0	0
TCGA-FD-A5C1-01A-11D-A289-08	34	34	0	60	0	0	50	0	0
TCGA-FD-A62N-01A-11D-A30E-08	5	0	0	93	0	14	0	0	0
TCGA-FD-A62O-01A-11D-A30E-08	23	55	0	40	0	43	64	0	0
TCGA-FD-A62P-01A-32D-A30E-08	30	142	0	51	0	60	181	0	0
TCGA-FD-A62S-01A-11D-A30E-08	15	0	23	49	0	0	0	0	0
TCGA-FD-A6TA-01A-12D-A339-08	9	112	0	12	0	32	151	0	0
TCGA-FD-A6TB-01A-12D-A339-08	15	64	0	8	0	30	106	0	0
TCGA-FD-A6TC-01A-21D-A339-08	29	433	0	84	0	138	502	0	0
TCGA-FD-A6TD-01A-51D-A339-08	23	49	0	56	0	0	32	0	0
TCGA-FD-A6TE-01A-12D-A339-08	22	99	0	53	0	0	116	0	0
TCGA-FD-A6TF-01A-52D-A32B-08	17	37	0	63	0	0	64	0	0
TCGA-FD-A6TG-01A-11D-A32B-08	23	103	0	207	0	0	141	0	0
TCGA-FD-A6TH-01A-11D-A32B-08	20	51	0	66	0	25	43	0	0
TCGA-FD-A6TI-01A-11D-A32B-08	29	0	0	104	0	14	0	0	0
TCGA-FD-A6TK-01A-42D-A339-08	15	33	0	58	0	0	21	0	0
TCGA-FJ-A3Z7-01A-12D-A23M-08	36	141	0	97	0	0	135	0	0
TCGA-FJ-A3Z9-01A-11D-A26M-08	38	9	0	26	0	0	9	0	0
TCGA-FJ-A3ZE-01A-11D-A23M-08	29	0	218	171	0	0	0	0	120
TCGA-FJ-A3ZF-01A-11D-A23M-08	39	94	0	116	0	0	76	0	0
TCGA-FJ-A871-01A-11D-A34U-08	12	0	0	49	0	0	0	0	0
TCGA-FT-A3EE-01A-11D-A202-08	24	31	0	93	0	0	6	0	0
TCGA-FT-A61P-01A-11D-A30E-08	22	32	0	126	0	0	24	0	0
TCGA-G2-A2EC-01A-11D-A17V-08	14	55	0	51	0	22	63	0	0
TCGA-G2-A2EF-01A-12D-A18F-08	21	119	0	63	0	0	112	0	0
TCGA-G2-A2EJ-01A-11D-A17V-08	36	88	0	86	0	0	144	0	0
TCGA-G2-A2EK-01A-22D-A18F-08	19	14	0	24	0	0	19	0	0
TCGA-G2-A2EL-01A-12D-A18F-08	18	76	0	39	0	34	134	0	0
TCGA-G2-A2EO-01A-11D-A17V-08	53	468	0	69	0	0	499	0	0
TCGA-G2-A2ES-01A-11D-A17V-08	22	136	0	272	0	46	48	0	0
TCGA-G2-A3IB-01A-11D-A20D-08	7	18	62	13	0	10	9	0	0
TCGA-G2-A3IE-01A-11D-A20D-08	23	148	0	94	0	0	169	0	0
TCGA-G2-A3VY-01A-11D-A22Z-08	27	239	0	183	0	0	480	0	0
TCGA-G2-AA3B-01A-11D-A391-08	13	253	0	87	0	69	466	0	0
TCGA-G2-AA3C-01A-21D-A391-08	32	91	0	57	0	0	112	0	0
TCGA-G2-AA3D-01A-11D-A391-08	8	76	0	45	0	0	136	0	0
TCGA-G2-AA3F-01A-12D-A42E-08	25	29	0	53	0	0	36	0	20
TCGA-GC-A3BM-01A-11D-A22Z-08	41	24	0	49	0	15	17	0	0
TCGA-GC-A3I6-01A-11D-A20D-08	16	82	0	65	0	0	71	0	0
TCGA-GC-A3OO-01A-11D-A22Z-08	6	83	0	44	0	0	38	0	0
TCGA-GC-A3RB-01A-12D-A21Z-08	34	59	0	57	0	0	59	0	0
TCGA-GC-A3RC-01A-11D-A22Z-08	14	106	0	244	0	38	71	0	0
TCGA-GC-A3RD-01A-12D-A22Z-08	22	26	0	32	0	0	22	0	0
TCGA-GC-A3WC-01A-31D-A22Z-08	19	42	0	90	0	0	44	0	0
TCGA-GC-A3YS-01A-11D-A23M-08	24	72	0	76	0	36	97	0	0
TCGA-GC-A4ZW-01A-11D-A26M-08	43	240	0	129	0	0	416	0	0
TCGA-GC-A6I1-01A-12D-A31L-08	24	107	0	61	0	0	101	0	0
TCGA-GC-A6I3-01A-11D-A31L-08	20	49	0	106	0	27	93	0	0
TCGA-GD-A2C5-01A-12D-A17V-08	18	78	0	71	0	47	105	0	0
TCGA-GD-A3OP-01A-21D-A21Z-08	31	158	0	122	0	0	111	0	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	27	26	0	24	0	0	39	0	0
TCGA-GD-A3OS-01A-12D-A21Z-08	26	19	0	60	0	0	10	0	0
TCGA-GD-A6C6-01A-21D-A31L-08	22	96	0	73	0	33	123	0	0
TCGA-GD-A76B-01A-11D-A32B-08	17	56	0	56	0	25	59	0	0
TCGA-GU-A42P-01A-11D-A23U-08	22	112	0	68	0	48	95	0	0
TCGA-GU-A42Q-01A-11D-A23U-08	19	49	0	53	0	24	77	0	0
TCGA-GU-A42R-01A-11D-A23M-08	14	55	0	59	0	19	65	0	0
TCGA-GU-A762-01A-11D-A339-08	26	14	0	44	0	0	28	0	0
TCGA-GU-A763-01A-11D-A32B-08	10	7	0	45	0	0	18	0	0
TCGA-GU-A764-01A-11D-A34U-08	8	32	0	48	0	15	33	0	0
TCGA-GU-A766-01A-11D-A32B-08	8	82	0	19	0	35	94	0	0
TCGA-GU-A767-01A-11D-A32B-08	21	58	124	90	0	30	101	0	48
TCGA-GU-AATO-01A-11D-A391-08	26	150	0	55	0	0	156	0	0
TCGA-GU-AATP-01A-11D-A391-08	19	130	0	83	0	49	116	0	0
TCGA-GU-AATQ-01A-11D-A391-08	11	42	0	80	0	0	78	0	0
TCGA-GV-A3JV-01A-11D-A21Z-08	63	19	0	49	0	0	12	0	0
TCGA-GV-A3JW-01A-11D-A20D-08	17	18	0	37	0	0	28	0	0
TCGA-GV-A3JX-01A-11D-A20D-08	16	80	0	58	0	31	142	0	0
TCGA-GV-A3JZ-01A-11D-A21A-08	30	151	0	46	0	107	211	0	0
TCGA-GV-A3QF-01A-31D-A22Z-08	21	13	0	114	0	0	12	0	0
TCGA-GV-A3QG-01A-11D-A21Z-08	18	15	0	60	0	0	15	0	0
TCGA-GV-A3QH-01A-11D-A21Z-08	37	38	0	48	0	0	73	0	0
TCGA-GV-A3QI-01A-11D-A21Z-08	30	59	135	282	0	0	68	0	0
TCGA-GV-A3QK-01B-11D-A23M-08	25	36	0	64	0	24	33	0	0
TCGA-GV-A40E-01A-12D-A23M-08	20	26	0	70	0	0	86	0	0
TCGA-GV-A40G-01A-11D-A23M-08	41	37	0	95	0	0	17	0	0
TCGA-GV-A6ZA-01A-12D-A339-08	26	103	0	42	0	46	144	0	0
TCGA-H4-A2HO-01A-11D-A17V-08	24	17	0	46	0	0	16	0	0
TCGA-H4-A2HQ-01A-11D-A17V-08	19	158	0	146	0	46	183	0	0
TCGA-HQ-A2OE-01A-11D-A202-08	21	35	0	82	0	0	40	0	0
TCGA-HQ-A2OF-01A-11D-A26M-08	71	12	0	47	0	0	0	0	0
TCGA-HQ-A5ND-01A-11D-A26M-08	17	10	0	60	0	11	10	0	0
TCGA-HQ-A5NE-01A-12D-A289-08	23	166	0	61	0	36	167	0	0
TCGA-K4-A3WS-01A-11D-A22Z-08	7	80	0	163	0	0	102	0	0
TCGA-K4-A3WU-01B-11D-A23M-08	41	43	0	62	0	0	80	0	0
TCGA-K4-A3WV-01A-11D-A22Z-08	24	0	0	52	0	0	0	0	0
TCGA-K4-A4AB-01B-12D-A289-08	22	16	0	73	0	0	11	0	0
TCGA-K4-A4AC-01A-21D-A26M-08	24	32	0	63	0	25	39	0	0
TCGA-K4-A54R-01A-11D-A26M-08	25	451	0	37	0	151	515	0	0
TCGA-K4-A5RH-01A-11D-A30E-08	14	76	0	57	0	24	41	0	0
TCGA-K4-A5RI-01A-11D-A289-08	26	24	0	92	0	0	25	0	0
TCGA-K4-A5RJ-01A-11D-A289-08	23	162	0	109	0	0	176	0	0
TCGA-K4-A6FZ-01A-11D-A31L-08	13	127	0	249	0	0	106	0	0
TCGA-K4-A6MB-01A-11D-A31L-08	36	132	0	118	0	0	130	0	0
TCGA-K4-A83P-01A-11D-A34U-08	24	80	0	115	0	0	75	0	0
TCGA-K4-AAQO-01A-11D-A38G-08	26	69	0	123	0	0	83	0	0
TCGA-KQ-A41N-01A-11D-A339-08	16	31	0	191	0	0	20	0	0
TCGA-KQ-A41O-01A-12D-A34U-08	43	73	0	47	0	0	144	0	0
TCGA-KQ-A41P-01A-12D-A339-08	25	129	0	41	0	43	149	0	0
TCGA-KQ-A41Q-01A-11D-A339-08	26	36	0	54	0	25	46	0	0
TCGA-KQ-A41R-01A-21D-A34U-08	63	353	0	398	0	85	86	0	0
TCGA-KQ-A41S-01A-12D-A339-08	16	92	0	35	0	29	107	0	0
TCGA-LC-A66R-01A-41D-A30E-08	17	29	0	44	0	24	46	0	0
TCGA-LT-A5Z6-01A-11D-A289-08	29	287	0	95	0	0	266	0	0
TCGA-LT-A8JT-01A-11D-A364-08	18	19	0	23	0	0	15	0	15
TCGA-MV-A51V-01A-11D-A26M-08	60	553	0	196	0	0	1246	0	0
TCGA-PQ-A6FI-01A-11D-A31L-08	21	38	0	79	0	0	48	0	0
TCGA-PQ-A6FN-01A-11D-A31L-08	12	21	0	48	0	0	16	0	0
TCGA-R3-A69X-01A-22D-A30E-08	23	70	0	47	0	0	120	0	0
TCGA-S5-A6DX-01A-11D-A31L-08	42	270	0	57	0	116	350	0	0
