Samples	SBS1	SBS2	SBS4	SBS5	SBS7a	SBS10a	SBS10b	SBS13	SBS15	SBS23
TCGA-UY-A78L-01A-12D-A339-08	1	19	0	11	0	0	9	18	0	0
TCGA-UY-A78M-01A-21D-A34U-08	11	10	0	3	0	0	0	11	0	0
TCGA-UY-A78N-01A-12D-A339-08	2	0	0	53	0	0	0	0	0	0
TCGA-UY-A78O-01A-12D-A339-08	13	12	0	6	0	0	0	7	0	0
TCGA-UY-A78P-01A-12D-A364-08	9	27	0	4	0	0	0	34	0	0
TCGA-UY-A8OB-01A-12D-A42E-08	0	0	0	59	0	0	0	11	0	0
TCGA-UY-A8OC-01A-11D-A364-08	3	4	0	5	0	0	7	8	0	0
TCGA-UY-A8OD-01A-11D-A364-08	3	5	0	11	0	0	0	4	0	0
TCGA-UY-A9PA-01A-11D-A38G-08	9	6	0	25	0	0	0	3	0	0
TCGA-UY-A9PB-01A-11D-A38G-08	12	31	0	85	0	0	0	36	0	0
TCGA-UY-A9PD-01A-11D-A38G-08	15	13	0	45	0	0	0	12	0	0
TCGA-UY-A9PE-01A-11D-A38G-08	6	6	0	0	11	0	10	22	0	0
TCGA-UY-A9PF-01A-11D-A38G-08	9	66	0	28	36	0	0	7	0	0
TCGA-UY-A9PH-01A-11D-A38G-08	10	35	0	13	0	0	0	39	0	0
TCGA-XF-A8HB-01A-11D-A364-08	1	0	0	0	0	0	4	6	8	0
TCGA-XF-A8HC-01A-11D-A364-08	2	19	0	9	0	0	0	8	0	0
TCGA-XF-A8HD-01A-11D-A364-08	13	28	0	15	0	0	0	51	0	0
TCGA-XF-A8HE-01A-11D-A364-08	2	41	0	16	0	0	19	33	0	0
TCGA-XF-A8HF-01A-11D-A364-08	0	0	0	16	6	0	0	6	7	0
TCGA-XF-A8HG-01A-11D-A364-08	5	20	0	29	0	0	0	12	22	0
TCGA-XF-A8HH-01A-11D-A38G-08	6	4	0	3	0	0	6	11	0	0
TCGA-XF-A8HI-01A-11D-A38G-08	4	7	0	0	0	0	0	4	0	0
TCGA-XF-A9SG-01A-12D-A42E-08	5	22	0	3	0	0	6	15	0	0
TCGA-XF-A9SH-01A-11D-A391-08	6	3	0	0	0	0	0	3	0	0
TCGA-XF-A9SI-01A-11D-A391-08	5	31	0	9	0	0	0	43	0	0
TCGA-XF-A9SJ-01A-11D-A391-08	8	36	0	12	0	0	10	16	0	0
TCGA-XF-A9SK-01A-11D-A42E-08	7	11	0	0	0	0	8	16	0	0
TCGA-XF-A9SL-01A-11D-A391-08	1	4	0	5	0	0	0	13	0	0
TCGA-XF-A9SM-01A-11D-A42E-08	2	28	0	0	0	0	0	34	0	0
TCGA-XF-A9SP-01A-11D-A391-08	8	1	0	0	25	0	17	28	0	0
TCGA-XF-A9ST-01A-11D-A42E-08	6	23	0	67	0	0	19	43	0	0
TCGA-XF-A9SU-01A-31D-A391-08	6	0	0	9	0	0	0	0	0	0
TCGA-XF-A9SV-01A-21D-A42E-08	1	0	0	16	0	0	5	0	0	0
TCGA-XF-A9SW-01A-11D-A42E-08	2	3	0	0	0	0	3	3	5	0
TCGA-XF-A9SX-01A-21D-A391-08	1	0	0	26	0	0	0	0	0	0
TCGA-XF-A9SY-01A-21D-A42E-08	1	13	55	5	0	0	10	24	0	0
TCGA-XF-A9SZ-01A-11D-A391-08	6	13	0	7	0	0	0	11	0	0
TCGA-XF-A9T0-01A-11D-A391-08	11	126	0	72	0	0	40	0	0	0
TCGA-XF-A9T2-01A-11D-A42E-08	0	7	0	6	0	0	0	5	0	0
TCGA-XF-A9T3-01A-11D-A42E-08	5	0	0	91	0	0	0	0	0	0
TCGA-XF-A9T4-01A-11D-A391-08	0	0	0	5	5	0	0	0	6	0
TCGA-XF-A9T5-01A-11D-A42E-08	11	90	0	25	0	0	0	74	0	0
TCGA-XF-A9T6-01A-11D-A42E-08	7	13	0	45	0	0	14	0	0	0
TCGA-XF-A9T8-01A-11D-A391-08	16	67	0	15	0	0	0	95	0	0
TCGA-XF-AAME-01A-12D-A42E-08	0	0	0	1	0	0	0	0	0	0
TCGA-XF-AAMF-01A-21D-A42E-08	2	5	0	4	0	0	0	4	0	0
TCGA-XF-AAMG-01A-11D-A42E-08	20	66	0	40	0	0	34	113	0	0
TCGA-XF-AAMH-01A-11D-A42E-08	4	0	0	14	0	0	0	0	0	0
TCGA-XF-AAMJ-01A-11D-A42E-08	3	0	0	1	0	0	0	0	8	0
TCGA-XF-AAML-01A-11D-A42E-08	6	41	0	0	25	0	26	41	0	0
TCGA-XF-AAMQ-01A-11D-A42E-08	2	16	0	14	0	0	14	25	9	0
TCGA-XF-AAMR-01A-31D-A42E-08	4	5	0	0	0	0	9	0	0	0
TCGA-XF-AAMT-01A-11D-A42E-08	1	3	0	7	0	2	4	13	0	0
TCGA-XF-AAMW-01A-11D-A42E-08	0	0	0	1	0	0	0	0	0	12
TCGA-XF-AAMX-01A-11D-A42E-08	10	24	0	25	0	0	0	22	0	16
TCGA-XF-AAMY-01A-11D-A42E-08	6	9	0	1	0	0	0	12	0	0
TCGA-XF-AAMZ-01A-11D-A42E-08	13	13	0	11	0	0	0	35	0	0
TCGA-XF-AAN0-01A-11D-A42E-08	8	49	0	29	0	0	0	41	0	0
TCGA-XF-AAN1-01A-31D-A42E-08	7	0	0	15	0	0	0	0	0	0
TCGA-XF-AAN2-01A-11D-A42E-08	5	53	0	13	0	0	0	44	0	0
TCGA-XF-AAN3-01A-11D-A42E-08	4	11	0	9	0	0	0	9	0	0
TCGA-XF-AAN4-01A-11D-A42E-08	0	0	0	6	2	0	0	0	0	0
TCGA-XF-AAN5-01A-11D-A42E-08	2	15	0	17	0	0	11	44	0	0
TCGA-XF-AAN7-01A-11D-A42E-08	3	5	0	16	0	0	0	0	0	9
TCGA-YC-A89H-01A-11D-A364-08	24	229	0	0	106	0	109	0	0	0
TCGA-YC-A8S6-01A-31D-A38G-08	4	3	0	0	0	0	0	8	6	0
TCGA-YC-A9TC-01A-22D-A391-08	4	6	0	7	0	3	0	9	0	0
TCGA-YF-AA3L-01A-11D-A38G-08	6	8	0	51	0	0	0	15	0	0
TCGA-YF-AA3M-01A-11D-A42E-08	5	0	0	33	6	0	0	0	0	0
TCGA-ZF-A9R0-01A-11D-A38G-08	5	15	0	8	0	0	7	13	0	0
TCGA-ZF-A9R1-01A-11D-A391-08	4	8	0	6	0	0	0	5	0	0
TCGA-ZF-A9R2-01A-11D-A391-08	2	14	0	11	0	0	0	16	0	0
TCGA-ZF-A9R3-01A-11D-A38G-08	2	0	0	7	0	0	6	9	0	0
TCGA-ZF-A9R4-01A-11D-A38G-08	5	20	0	9	0	0	10	22	0	0
TCGA-ZF-A9R5-01A-12D-A42E-08	2	0	0	16	4	0	0	0	0	0
TCGA-ZF-A9R7-01A-11D-A38G-08	6	60	0	0	0	0	32	103	0	0
TCGA-ZF-A9R9-01A-11D-A38G-08	2	4	0	0	13	0	8	13	9	0
TCGA-ZF-A9RC-01A-11D-A38G-08	10	160	0	76	0	0	0	30	0	0
TCGA-ZF-A9RD-01A-11D-A42E-08	3	0	0	2	24	0	0	20	0	0
TCGA-ZF-A9RE-01A-11D-A38G-08	4	0	0	6	0	0	4	0	0	0
TCGA-ZF-A9RF-01A-11D-A38G-08	4	0	0	22	14	0	8	12	0	0
TCGA-ZF-A9RG-01A-21D-A42E-08	3	27	0	15	0	0	0	23	0	0
TCGA-ZF-A9RL-01A-11D-A38G-08	7	6	0	34	0	0	0	36	0	0
TCGA-ZF-A9RM-01A-11D-A38G-08	2	0	0	15	0	0	0	0	0	0
TCGA-ZF-A9RN-01A-11D-A42E-08	9	8	0	17	0	0	0	12	0	0
TCGA-ZF-AA4N-01A-11D-A38G-08	2	11	0	17	0	0	0	11	0	0
TCGA-ZF-AA4R-01A-11D-A38G-08	0	0	0	0	0	0	4	5	6	0
TCGA-ZF-AA4T-01A-11D-A38G-08	4	0	0	11	11	0	0	0	0	0
TCGA-ZF-AA4U-01A-11D-A38G-08	4	0	0	3	0	0	0	0	0	8
TCGA-ZF-AA4V-01A-11D-A38G-08	14	81	0	58	0	0	0	29	0	0
TCGA-ZF-AA4W-01A-12D-A38G-08	13	0	0	36	26	0	0	28	34	0
TCGA-ZF-AA4X-01A-11D-A38G-08	0	86	0	0	0	0	28	61	0	0
TCGA-ZF-AA51-01A-21D-A391-08	9	70	0	23	0	0	0	89	0	0
TCGA-ZF-AA52-01A-12D-A391-08	2	7	0	10	0	0	0	8	0	0
TCGA-ZF-AA53-01A-11D-A391-08	2	16	0	0	0	0	0	24	0	0
TCGA-ZF-AA54-01A-11D-A391-08	7	13	0	4	0	0	0	19	0	0
TCGA-ZF-AA56-01A-31D-A391-08	1	7	0	9	0	0	0	12	0	0
TCGA-ZF-AA58-01A-12D-A42E-08	4	11	18	1	0	0	0	12	0	12
TCGA-ZF-AA5H-01A-11D-A391-08	5	3	0	6	0	0	0	0	0	0
TCGA-ZF-AA5N-01A-11D-A42E-08	5	1	0	0	0	0	2	3	0	0
TCGA-ZF-AA5P-01A-11D-A391-08	0	0	0	3	0	1	2	2	0	0
