Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-PQ-A6FN-01A-11D-A31L-08	19	22	32	23	1
TCGA-R3-A69X-01A-22D-A30E-08	166	42	13	33	6
TCGA-S5-A6DX-01A-11D-A31L-08	478	238	11	57	51
TCGA-S5-AA26-01A-11D-A38G-08	172	63	0	41	8
TCGA-SY-A9G0-01A-12D-A38G-08	24	6	3	30	1
TCGA-SY-A9G5-01A-11D-A38G-08	808	398	0	10	5
TCGA-UY-A78K-01A-11D-A339-08	227	81	622	21	52
TCGA-UY-A78L-01A-12D-A339-08	117	87	36	16	6
TCGA-UY-A78M-01A-21D-A34U-08	59	39	0	64	0
TCGA-UY-A78N-01A-12D-A339-08	0	30	185	52	8
TCGA-UY-A78O-01A-12D-A339-08	93	30	0	85	13
TCGA-UY-A78P-01A-12D-A364-08	238	81	3	18	11
TCGA-UY-A8OB-01A-12D-A42E-08	83	7	276	8	19
TCGA-UY-A8OC-01A-11D-A364-08	39	36	4	28	9
TCGA-UY-A8OD-01A-11D-A364-08	23	22	25	43	0
TCGA-UY-A9PA-01A-11D-A38G-08	27	31	115	28	0
TCGA-UY-A9PB-01A-11D-A38G-08	247	158	259	77	0
TCGA-UY-A9PD-01A-11D-A38G-08	56	69	150	90	7
TCGA-UY-A9PE-01A-11D-A38G-08	90	48	58	39	24
TCGA-UY-A9PF-01A-11D-A38G-08	16	490	94	12	17
TCGA-UY-A9PH-01A-11D-A38G-08	226	180	0	36	26
TCGA-XF-A8HB-01A-11D-A364-08	21	0	0	53	19
TCGA-XF-A8HC-01A-11D-A364-08	36	87	23	48	0
TCGA-XF-A8HD-01A-11D-A364-08	366	120	14	53	34
TCGA-XF-A8HE-01A-11D-A364-08	233	217	26	0	14
TCGA-XF-A8HF-01A-11D-A364-08	32	19	106	23	5
TCGA-XF-A8HG-01A-11D-A364-08	70	96	94	83	4
TCGA-XF-A8HH-01A-11D-A38G-08	56	35	0	38	15
TCGA-XF-A8HI-01A-11D-A38G-08	41	35	0	20	0
TCGA-XF-A9SG-01A-12D-A42E-08	88	87	14	34	9
TCGA-XF-A9SH-01A-11D-A391-08	22	6	3	21	1
TCGA-XF-A9SI-01A-11D-A391-08	285	131	0	1	0
TCGA-XF-A9SJ-01A-11D-A391-08	100	177	51	25	0
TCGA-XF-A9SK-01A-11D-A42E-08	82	36	19	29	17
TCGA-XF-A9SL-01A-11D-A391-08	65	3	22	2	0
TCGA-XF-A9SM-01A-11D-A42E-08	167	95	26	2	0
TCGA-XF-A9SP-01A-11D-A391-08	160	69	53	59	29
TCGA-XF-A9ST-01A-11D-A42E-08	223	88	296	41	22
TCGA-XF-A9SU-01A-31D-A391-08	7	4	3	38	9
TCGA-XF-A9SV-01A-21D-A42E-08	13	9	26	34	8
TCGA-XF-A9SW-01A-11D-A42E-08	11	25	13	23	6
TCGA-XF-A9SX-01A-21D-A391-08	13	13	77	22	5
TCGA-XF-A9SY-01A-21D-A42E-08	149	33	276	0	50
TCGA-XF-A9SZ-01A-11D-A391-08	68	62	76	22	6
TCGA-XF-A9T0-01A-11D-A391-08	58	649	276	33	27
TCGA-XF-A9T2-01A-11D-A42E-08	39	25	15	23	0
TCGA-XF-A9T3-01A-11D-A42E-08	39	50	371	43	13
TCGA-XF-A9T4-01A-11D-A391-08	12	7	3	23	2
TCGA-XF-A9T5-01A-11D-A42E-08	540	288	22	10	0
TCGA-XF-A9T6-01A-11D-A42E-08	0	113	184	43	26
TCGA-XF-A9T8-01A-11D-A391-08	631	225	0	43	0
TCGA-XF-AAME-01A-12D-A42E-08	0	0	18	2	0
TCGA-XF-AAMF-01A-21D-A42E-08	36	21	5	25	3
TCGA-XF-AAMG-01A-11D-A42E-08	721	202	125	89	66
TCGA-XF-AAMH-01A-11D-A42E-08	2	3	24	36	3
TCGA-XF-AAMJ-01A-11D-A42E-08	3	0	0	41	2
TCGA-XF-AAML-01A-11D-A42E-08	252	256	60	25	38
TCGA-XF-AAMQ-01A-11D-A42E-08	132	79	9	34	11
TCGA-XF-AAMR-01A-31D-A42E-08	35	43	10	20	7
TCGA-XF-AAMT-01A-11D-A42E-08	36	1	54	21	8
TCGA-XF-AAMW-01A-11D-A42E-08	0	0	33	5	5
TCGA-XF-AAMX-01A-11D-A42E-08	128	46	154	50	24
TCGA-XF-AAMY-01A-11D-A42E-08	57	39	0	46	0
TCGA-XF-AAMZ-01A-11D-A42E-08	160	31	21	76	21
TCGA-XF-AAN0-01A-11D-A42E-08	275	140	30	26	23
TCGA-XF-AAN1-01A-31D-A42E-08	19	7	29	48	5
TCGA-XF-AAN2-01A-11D-A42E-08	329	199	37	15	4
TCGA-XF-AAN3-01A-11D-A42E-08	93	63	13	20	6
TCGA-XF-AAN4-01A-11D-A42E-08	19	0	14	4	1
TCGA-XF-AAN5-01A-11D-A42E-08	261	28	30	44	16
TCGA-XF-AAN7-01A-11D-A42E-08	5	27	77	61	0
TCGA-XF-AAN8-01A-11D-A42E-08	0	0	0	2	0
TCGA-YC-A89H-01A-11D-A364-08	9	1833	258	53	22
TCGA-YC-A8S6-01A-31D-A38G-08	60	19	5	21	15
TCGA-YC-A9TC-01A-22D-A391-08	57	15	21	34	5
TCGA-YF-AA3L-01A-11D-A38G-08	79	29	205	64	9
TCGA-YF-AA3M-01A-11D-A42E-08	32	26	87	61	0
TCGA-ZF-A9R0-01A-11D-A38G-08	139	58	1	35	8
TCGA-ZF-A9R1-01A-11D-A391-08	40	23	4	43	2
TCGA-ZF-A9R2-01A-11D-A391-08	75	23	60	16	0
TCGA-ZF-A9R3-01A-11D-A38G-08	39	16	7	39	5
TCGA-ZF-A9R4-01A-11D-A38G-08	155	103	4	36	0
TCGA-ZF-A9R5-01A-12D-A42E-08	2	0	58	47	6
TCGA-ZF-A9R7-01A-11D-A38G-08	574	227	0	45	30
TCGA-ZF-A9R9-01A-11D-A38G-08	88	69	14	51	18
TCGA-ZF-A9RC-01A-11D-A38G-08	142	819	276	16	0
TCGA-ZF-A9RD-01A-11D-A42E-08	85	53	45	27	9
TCGA-ZF-A9RE-01A-11D-A38G-08	5	0	10	44	12
TCGA-ZF-A9RF-01A-11D-A38G-08	102	42	93	48	10
TCGA-ZF-A9RG-01A-21D-A42E-08	101	155	30	4	12
TCGA-ZF-A9RL-01A-11D-A38G-08	190	12	111	58	25
TCGA-ZF-A9RM-01A-11D-A38G-08	3	8	60	28	3
TCGA-ZF-A9RN-01A-11D-A42E-08	99	19	65	44	15
TCGA-ZF-AA4N-01A-11D-A38G-08	63	47	49	25	11
TCGA-ZF-AA4R-01A-11D-A38G-08	26	9	21	14	0
