Samples	SBS96A	SBS96B
TCGA-XF-AAN5-01A-11D-A42E-08	226	38
TCGA-XF-AAN7-01A-11D-A42E-08	26	97
TCGA-XF-AAN8-01A-11D-A42E-08	0	1
TCGA-YC-A89H-01A-11D-A364-08	986	411
TCGA-YC-A8S6-01A-31D-A38G-08	50	36
TCGA-YC-A9TC-01A-22D-A391-08	52	36
TCGA-YF-AA3L-01A-11D-A38G-08	98	178
TCGA-YF-AA3M-01A-11D-A42E-08	47	95
TCGA-ZF-A9R0-01A-11D-A38G-08	153	22
TCGA-ZF-A9R1-01A-11D-A391-08	42	40
TCGA-ZF-A9R2-01A-11D-A391-08	81	37
TCGA-ZF-A9R3-01A-11D-A38G-08	35	35
TCGA-ZF-A9R4-01A-11D-A38G-08	180	28
TCGA-ZF-A9R5-01A-12D-A42E-08	0	81
TCGA-ZF-A9R7-01A-11D-A38G-08	549	51
TCGA-ZF-A9R9-01A-11D-A38G-08	99	73
TCGA-ZF-A9RC-01A-11D-A38G-08	609	218
TCGA-ZF-A9RD-01A-11D-A42E-08	90	58
TCGA-ZF-A9RE-01A-11D-A38G-08	0	54
TCGA-ZF-A9RF-01A-11D-A38G-08	133	80
TCGA-ZF-A9RG-01A-21D-A42E-08	153	49
TCGA-ZF-A9RL-01A-11D-A38G-08	162	114
TCGA-ZF-A9RM-01A-11D-A38G-08	8	63
TCGA-ZF-A9RN-01A-11D-A42E-08	82	90
TCGA-ZF-AA4N-01A-11D-A38G-08	83	57
TCGA-ZF-AA4R-01A-11D-A38G-08	29	20
TCGA-ZF-AA4T-01A-11D-A38G-08	16	70
TCGA-ZF-AA4U-01A-11D-A38G-08	5	56
TCGA-ZF-AA4V-01A-11D-A38G-08	392	211
TCGA-ZF-AA4W-01A-12D-A38G-08	143	271
TCGA-ZF-AA4X-01A-11D-A38G-08	482	70
TCGA-ZF-AA51-01A-21D-A391-08	520	35
TCGA-ZF-AA52-01A-12D-A391-08	55	55
TCGA-ZF-AA53-01A-11D-A391-08	151	2
TCGA-ZF-AA54-01A-11D-A391-08	124	29
TCGA-ZF-AA56-01A-31D-A391-08	47	36
TCGA-ZF-AA58-01A-12D-A42E-08	135	55
TCGA-ZF-AA5H-01A-11D-A391-08	29	29
TCGA-ZF-AA5N-01A-11D-A42E-08	10	38
TCGA-ZF-AA5P-01A-11D-A391-08	18	24
