Samples	SBS96A	SBS96B	SBS96C
TCGA-AC-A3YJ-01A-11D-A22X-09	23	2	0
TCGA-AC-A4ZE-01A-11D-A41F-09	42	10	5
TCGA-AC-A5EH-01A-11D-A28B-09	125	36	10
TCGA-AC-A5EI-01A-11D-A27P-09	17	9	4
TCGA-AC-A5XS-01A-11D-A29N-09	15	462	34
TCGA-AC-A5XU-01A-11D-A28B-09	60	7	6
TCGA-AC-A62V-01A-11D-A31U-09	65	7	11
TCGA-AC-A62X-01A-11D-A29N-09	59	2	9
TCGA-AC-A62Y-01A-11D-A29N-09	40	22	2
TCGA-AC-A6IV-01A-12D-A33E-09	17	0	4
TCGA-AC-A6IW-01A-12D-A33E-09	82	70	3
TCGA-AC-A6IX-01A-12D-A32I-09	28	15	2
TCGA-AC-A6NO-01A-12D-A33E-09	27	2	3
TCGA-AC-A7VB-01A-11D-A351-09	22	0	2
TCGA-AC-A7VC-01A-11D-A351-09	20	1	4
TCGA-AC-A8OP-01A-11D-A36J-09	137	20	20
TCGA-AC-A8OQ-01A-11D-A41F-09	65	17	18
TCGA-AC-A8OR-01A-21D-A41F-09	30	0	2
TCGA-AC-A8OS-01A-12D-A41F-09	32	17	2
TCGA-AN-A03X-01A-21W-A019-09	64	1	5
TCGA-AN-A03Y-01A-21W-A019-09	31	6	6
TCGA-AN-A041-01A-11W-A050-09	32	9	3
TCGA-AN-A046-01A-21W-A050-09	0	0	6025
TCGA-AN-A049-01A-21W-A019-09	25	3	5
TCGA-AN-A04A-01A-21W-A050-09	40	3	3
TCGA-AN-A04C-01A-21W-A050-09	74	9	6
TCGA-AN-A04D-01A-21W-A050-09	77	14	4
TCGA-AN-A0AJ-01A-11W-A019-09	54	18	18
TCGA-AN-A0AK-01A-21W-A019-09	1112	5	82
TCGA-AN-A0AL-01A-11W-A019-09	56	13	4
TCGA-AN-A0AM-01A-11W-A050-09	74	16	4
TCGA-AN-A0AR-01A-11W-A019-09	92	22	6
TCGA-AN-A0AS-01A-11W-A019-09	38	5	5
